species,year,variable,data_value,,,,,
Hoki,2002,Catch,195492.1,,,,,
Hoki,2003,Catch,184659.4,,,Year,Catch,TACC
Hoki,2004,Catch,135783.7,,,2002,195492.1,200010
Hoki,2005,Catch,104364.1,,,2003,184659.4,200010
Hoki,2006,Catch,104385.2,,,2004,135783.7,180010
Hoki,2007,Catch,101008.5,,,2005,104364.1,100010
Hoki,2008,Catch,89317.9,,,2006,104385.2,100010
Hoki,2009,Catch,88804.9,,,2007,101008.5,100010
Hoki,2010,Catch,107208.7,,,2008,89317.9,90010
Hoki,2011,Catch,118804.6,,,2009,88804.9,90010
Hoki,2012,Catch,130108,,,2010,107208.7,110010
Hoki,2013,Catch,131567.9,,,2011,118804.6,120010
Hoki,2014,Catch,146343.6,,,2012,130108,130010
Hoki,2015,Catch,161528,,,2013,131567.9,130010
Hoki,2016,Catch,136719.1,,,2014,146343.6,150010
Hoki,2017,Catch,141566.5,,,2015,161528,160010
Hoki,2018,Catch,135397,,,2016,136719.1,150010
Hoki,2002,TACC,200010,,,2017,141566.5,150010
Hoki,2003,TACC,200010,,,2018,135397,150010
Hoki,2004,TACC,180010,,,,,
Hoki,2005,TACC,100010,,,,,
Hoki,2006,TACC,100010,,,,,
Hoki,2007,TACC,100010,,,,,
Hoki,2008,TACC,90010,,,,,
Hoki,2009,TACC,90010,,,,,
Hoki,2010,TACC,110010,,,,,
Hoki,2011,TACC,120010,,,,,
Hoki,2012,TACC,130010,,,,,
Hoki,2013,TACC,130010,,,,,
Hoki,2014,TACC,150010,,,,,
Hoki,2015,TACC,160010,,,,,
Hoki,2016,TACC,150010,,,,,
Hoki,2017,TACC,150010,,,,,
Hoki,2018,TACC,150010,,,,,
Ling,2002,Catch,19563,,,,,
Ling,2003,Catch,18907.7,,,Year,Catch,TACC
Ling,2004,Catch,18757.7,,,2002,19563,19843.2
Ling,2005,Catch,17186.1,,,2003,18907.7,19978.5
Ling,2006,Catch,14177.8,,,2004,18757.7,19978.5
Ling,2007,Catch,16099.3,,,2005,17186.1,21977.1
Ling,2008,Catch,16262.7,,,2006,14177.8,21977.1
Ling,2009,Catch,13111.1,,,2007,16099.3,21977.1
Ling,2010,Catch,12579.9,,,2008,16262.7,21977.1
Ling,2011,Catch,12336.7,,,2009,13111.1,21977.1
Ling,2012,Catch,12954.6,,,2010,12579.9,22226
Ling,2013,Catch,14317.2,,,2011,12336.7,22226
Ling,2014,Catch,15224.6,,,2012,12954.6,22226
Ling,2015,Catch,15001.9,,,2013,14317.2,22226
Ling,2016,Catch,14665.6,,,2014,15224.6,23192
Ling,2017,Catch,16600.6,,,2015,15001.9,23192
Ling,2018,Catch,18694.2,,,2016,14665.6,23192
Ling,2002,TACC,19843.2,,,2017,16600.6,23192
Ling,2003,TACC,19978.5,,,2018,18694.2,23192
Ling,2004,TACC,19978.5,,,,,
Ling,2005,TACC,21977.1,,,,,
Ling,2006,TACC,21977.1,,,,,
Ling,2007,TACC,21977.1,,,,,
Ling,2008,TACC,21977.1,,,,,
Ling,2009,TACC,21977.1,,,,,
Ling,2010,TACC,22226,,,,,
Ling,2011,TACC,22226,,,,,
Ling,2012,TACC,22226,,,,,
Ling,2013,TACC,22226,,,,,
Ling,2014,TACC,23192,,,,,
Ling,2015,TACC,23192,,,,,
Ling,2016,TACC,23192,,,,,
Ling,2017,TACC,23192,,,,,
Ling,2018,TACC,23192,,,,,
Orange_Roughy,2002,Catch,14379.5,,,,,
Orange_Roughy,2003,Catch,14670.4,,,,,
Orange_Roughy,2004,Catch,13414.1,,,,,
Orange_Roughy,2005,Catch,15368,,,,,
Orange_Roughy,2006,Catch,15502.2,,,Year,Catch,TACC
Orange_Roughy,2007,Catch,14167.1,,,2002,14379.5,15921
Orange_Roughy,2008,Catch,13110.4,,,2003,14670.4,15221
Orange_Roughy,2009,Catch,11365.9,,,2004,13414.1,15221
Orange_Roughy,2010,Catch,9206.5,,,2005,15368,15921
Orange_Roughy,2011,Catch,6423.5,,,2006,15502.2,15921
Orange_Roughy,2012,Catch,5837.9,,,2007,14167.1,14721
Orange_Roughy,2013,Catch,5323.8,,,2008,13110.4,13612
Orange_Roughy,2014,Catch,7215.3,,,2009,11365.9,12532
Orange_Roughy,2015,Catch,8216.4,,,2010,9206.5,11062
Orange_Roughy,2016,Catch,7811.1,,,2011,6423.5,8221
Orange_Roughy,2017,Catch,7619.2,,,2012,5837.9,6941
Orange_Roughy,2018,Catch,8073.4,,,2013,5323.8,6941
Orange_Roughy,2002,TACC,15921,,,2014,7215.3,7841
Orange_Roughy,2003,TACC,15221,,,2015,8216.4,8736
Orange_Roughy,2004,TACC,15221,,,2016,7811.1,8736
Orange_Roughy,2005,TACC,15921,,,2017,7619.2,8736
Orange_Roughy,2006,TACC,15921,,,2018,8073.4,8933
Orange_Roughy,2007,TACC,14721,,,,,
Orange_Roughy,2008,TACC,13612,,,,,
Orange_Roughy,2009,TACC,12532,,,,,
Orange_Roughy,2010,TACC,11062,,,,,
Orange_Roughy,2011,TACC,8221,,,,,
Orange_Roughy,2012,TACC,6941,,,,,
Orange_Roughy,2013,TACC,6941,,,,,
Orange_Roughy,2014,TACC,7841,,,,,
Orange_Roughy,2015,TACC,8736,,,,,
Orange_Roughy,2016,TACC,8736,,,,,
