species,year,variable,units,magnitude,source,data_value,flag
Hoki,2002,Catch,Tonnes,Actual,Environmental_Accounts,195492.1,
Hoki,2003,Catch,Tonnes,Actual,Environmental_Accounts,184659.4,
Hoki,2015,Catch,Tonnes,Actual,Environmental_Accounts,161528,
Hoki,2014,Catch,Tonnes,Actual,Environmental_Accounts,146343.6,
Hoki,2017,Catch,Tonnes,Actual,Environmental_Accounts,141566.5,
Hoki,2016,Catch,Tonnes,Actual,Environmental_Accounts,136719.1,
Hoki,2004,Catch,Tonnes,Actual,Environmental_Accounts,135783.7,
Hoki,2018,Catch,Tonnes,Actual,Environmental_Accounts,135397,
Hoki,2013,Catch,Tonnes,Actual,Environmental_Accounts,131567.9,
Hoki,2012,Catch,Tonnes,Actual,Environmental_Accounts,130108,
Hoki,2011,Catch,Tonnes,Actual,Environmental_Accounts,118804.6,
Hoki,2010,Catch,Tonnes,Actual,Environmental_Accounts,107208.7,
Hoki,2006,Catch,Tonnes,Actual,Environmental_Accounts,104385.2,
Hoki,2005,Catch,Tonnes,Actual,Environmental_Accounts,104364.1,
Hoki,2007,Catch,Tonnes,Actual,Environmental_Accounts,101008.5,
Hoki,2008,Catch,Tonnes,Actual,Environmental_Accounts,89317.9,
Hoki,2009,Catch,Tonnes,Actual,Environmental_Accounts,88804.9,
Arrow_Squid,2005,Catch,Tonnes,Actual,Environmental_Accounts,86074.5,
Arrow_Squid,2004,Catch,Tonnes,Actual,Environmental_Accounts,84962.3,
Arrow_Squid,2006,Catch,Tonnes,Actual,Environmental_Accounts,72418.4,
Arrow_Squid,2007,Catch,Tonnes,Actual,Environmental_Accounts,70252.7,
Arrow_Squid,2008,Catch,Tonnes,Actual,Environmental_Accounts,56035.2,
Jack_Mackerel,2014,Catch,Tonnes,Actual,Environmental_Accounts,50387.7,
Jack_Mackerel,2015,Catch,Tonnes,Actual,Environmental_Accounts,48261.9,
Arrow_Squid,2002,Catch,Tonnes,Actual,Environmental_Accounts,48173.1,
Jack_Mackerel,2008,Catch,Tonnes,Actual,Environmental_Accounts,47855.4,
Jack_Mackerel,2017,Catch,Tonnes,Actual,Environmental_Accounts,47355.9,
Jack_Mackerel,2005,Catch,Tonnes,Actual,Environmental_Accounts,46640.8,
Arrow_Squid,2009,Catch,Tonnes,Actual,Environmental_Accounts,46310.9,
Jack_Mackerel,2018,Catch,Tonnes,Actual,Environmental_Accounts,45301.6,
Arrow_Squid,2003,Catch,Tonnes,Actual,Environmental_Accounts,43719.4,
Jack_Mackerel,2013,Catch,Tonnes,Actual,Environmental_Accounts,43658.7,
Arrow_Squid,2016,Catch,Tonnes,Actual,Environmental_Accounts,43126.7,
Jack_Mackerel,2010,Catch,Tonnes,Actual,Environmental_Accounts,42944.3,
Jack_Mackerel,2006,Catch,Tonnes,Actual,Environmental_Accounts,42705.5,
Southern_Blue_Whiting,2003,Catch,Tonnes,Actual,Environmental_Accounts,41794.7,
Jack_Mackerel,2016,Catch,Tonnes,Actual,Environmental_Accounts,40620.1,
Jack_Mackerel,2009,Catch,Tonnes,Actual,Environmental_Accounts,40582.4,
Jack_Mackerel,2012,Catch,Tonnes,Actual,Environmental_Accounts,40261.4,
Jack_Mackerel,2011,Catch,Tonnes,Actual,Environmental_Accounts,40052.6,
Southern_Blue_Whiting,2010,Catch,Tonnes,Actual,Environmental_Accounts,39540.1,
Jack_Mackerel,2007,Catch,Tonnes,Actual,Environmental_Accounts,39188.9,
Southern_Blue_Whiting,2011,Catch,Tonnes,Actual,Environmental_Accounts,38708.1,
