@relation Appended_3_sets

@attribute ﻿species {Blue_Cod,Hoki,Ling,Orange_Roughy,Paua,Rock_Lobster,Scampi,Silver_Warehou,Snapper,Southern_Blue_Whiting}
@attribute year numeric
@attribute variable {Catch,TACC}
@attribute units {Tonnes}
@attribute magnitude {Actual}
@attribute source {Environmental_Accounts}
@attribute data_value numeric
@attribute flag {R}
@attribute ﻿year numeric
@attribute performance_of_stocks_hard_limit {landings_from_stocks_above_hard_limit,stocks_above_hard_limit}
@attribute percent numeric
@attribute performance_of_stocks_soft_limit {landings_from_stocks_above_soft_limit,stocks_above_soft_limit}

@data
Hoki,2002,Catch,Tonnes,Actual,Environmental_Accounts,195492.1,?,?,?,?,?
Hoki,2003,Catch,Tonnes,Actual,Environmental_Accounts,184659.4,?,?,?,?,?
Hoki,2004,Catch,Tonnes,Actual,Environmental_Accounts,135783.7,?,?,?,?,?
Hoki,2005,Catch,Tonnes,Actual,Environmental_Accounts,104364.1,?,?,?,?,?
Hoki,2006,Catch,Tonnes,Actual,Environmental_Accounts,104385.2,?,?,?,?,?
Hoki,2007,Catch,Tonnes,Actual,Environmental_Accounts,101008.5,?,?,?,?,?
Hoki,2008,Catch,Tonnes,Actual,Environmental_Accounts,89317.9,?,?,?,?,?
Hoki,2009,Catch,Tonnes,Actual,Environmental_Accounts,88804.9,?,?,?,?,?
Hoki,2010,Catch,Tonnes,Actual,Environmental_Accounts,107208.7,?,?,?,?,?
Hoki,2011,Catch,Tonnes,Actual,Environmental_Accounts,118804.6,?,?,?,?,?
Hoki,2012,Catch,Tonnes,Actual,Environmental_Accounts,130108,?,?,?,?,?
Hoki,2013,Catch,Tonnes,Actual,Environmental_Accounts,131567.9,?,?,?,?,?
Hoki,2014,Catch,Tonnes,Actual,Environmental_Accounts,146343.6,?,?,?,?,?
Hoki,2015,Catch,Tonnes,Actual,Environmental_Accounts,161528,?,?,?,?,?
Hoki,2016,Catch,Tonnes,Actual,Environmental_Accounts,136719.1,?,?,?,?,?
Hoki,2017,Catch,Tonnes,Actual,Environmental_Accounts,141566.5,?,?,?,?,?
Hoki,2018,Catch,Tonnes,Actual,Environmental_Accounts,135397,?,?,?,?,?
Hoki,1996,TACC,Tonnes,Actual,Environmental_Accounts,240010,?,?,?,?,?
Hoki,1997,TACC,Tonnes,Actual,Environmental_Accounts,250010,?,?,?,?,?
Hoki,1998,TACC,Tonnes,Actual,Environmental_Accounts,250010,?,?,?,?,?
Hoki,1999,TACC,Tonnes,Actual,Environmental_Accounts,250010,?,?,?,?,?
Hoki,2000,TACC,Tonnes,Actual,Environmental_Accounts,250010,?,?,?,?,?
Hoki,2001,TACC,Tonnes,Actual,Environmental_Accounts,250010,?,?,?,?,?
Hoki,2002,TACC,Tonnes,Actual,Environmental_Accounts,200010,?,?,?,?,?
Hoki,2003,TACC,Tonnes,Actual,Environmental_Accounts,200010,?,?,?,?,?
Hoki,2004,TACC,Tonnes,Actual,Environmental_Accounts,180010,?,?,?,?,?
Hoki,2005,TACC,Tonnes,Actual,Environmental_Accounts,100010,?,?,?,?,?
Hoki,2006,TACC,Tonnes,Actual,Environmental_Accounts,100010,?,?,?,?,?
Hoki,2007,TACC,Tonnes,Actual,Environmental_Accounts,100010,?,?,?,?,?
Hoki,2008,TACC,Tonnes,Actual,Environmental_Accounts,90010,?,?,?,?,?
Hoki,2009,TACC,Tonnes,Actual,Environmental_Accounts,90010,?,?,?,?,?
Hoki,2010,TACC,Tonnes,Actual,Environmental_Accounts,110010,?,?,?,?,?
