@relation Appended_2_sets

@attribute ﻿year numeric
@attribute value_above numeric
@attribute ﻿species {Blue_Cod,Hoki,Ling,Orange_Roughy,Paua,Rock_Lobster,Scampi,Silver_Warehou,Snapper,Southern_Blue_Whiting}
@attribute year numeric
@attribute variable {TACC}
@attribute units {Tonnes}
@attribute magnitude {Actual}
@attribute source {Environmental_Accounts}
@attribute data_value numeric

@data
2009,537924.494,?,?,?,?,?,?,?
2010,569418.38,?,?,?,?,?,?,?
2011,582795.149,?,?,?,?,?,?,?
2012,597339.721,?,?,?,?,?,?,?
2013,594250.303,?,?,?,?,?,?,?
2014,620038.245,?,?,?,?,?,?,?
2015,642491.124,?,?,?,?,?,?,?
?,?,Hoki,2009,TACC,Tonnes,Actual,Environmental_Accounts,90010
?,?,Hoki,2010,TACC,Tonnes,Actual,Environmental_Accounts,110010
?,?,Hoki,2011,TACC,Tonnes,Actual,Environmental_Accounts,120010
?,?,Hoki,2012,TACC,Tonnes,Actual,Environmental_Accounts,130010
?,?,Hoki,2013,TACC,Tonnes,Actual,Environmental_Accounts,130010
?,?,Hoki,2014,TACC,Tonnes,Actual,Environmental_Accounts,150010
?,?,Hoki,2015,TACC,Tonnes,Actual,Environmental_Accounts,160010
?,?,Ling,2009,TACC,Tonnes,Actual,Environmental_Accounts,21977.1
?,?,Ling,2010,TACC,Tonnes,Actual,Environmental_Accounts,22226
?,?,Ling,2011,TACC,Tonnes,Actual,Environmental_Accounts,22226
?,?,Ling,2012,TACC,Tonnes,Actual,Environmental_Accounts,22226
?,?,Ling,2013,TACC,Tonnes,Actual,Environmental_Accounts,22226
?,?,Ling,2014,TACC,Tonnes,Actual,Environmental_Accounts,23192
?,?,Ling,2015,TACC,Tonnes,Actual,Environmental_Accounts,23192
?,?,Orange_Roughy,2009,TACC,Tonnes,Actual,Environmental_Accounts,12532
?,?,Orange_Roughy,2010,TACC,Tonnes,Actual,Environmental_Accounts,11062
?,?,Orange_Roughy,2011,TACC,Tonnes,Actual,Environmental_Accounts,8221
?,?,Orange_Roughy,2012,TACC,Tonnes,Actual,Environmental_Accounts,6941
?,?,Orange_Roughy,2013,TACC,Tonnes,Actual,Environmental_Accounts,6941
?,?,Orange_Roughy,2014,TACC,Tonnes,Actual,Environmental_Accounts,7841
?,?,Orange_Roughy,2015,TACC,Tonnes,Actual,Environmental_Accounts,8736
