year,performance_of_stocks_hard_limit,percent
2009,landings_from_stocks_above_hard_limit,99.5
2010,landings_from_stocks_above_hard_limit,99.1
2011,landings_from_stocks_above_hard_limit,97.1
2012,landings_from_stocks_above_hard_limit,99.5
2013,landings_from_stocks_above_hard_limit,99.5
2014,landings_from_stocks_above_hard_limit,99.6
2015,landings_from_stocks_above_hard_limit,99.6
2009,stocks_above_hard_limit,93.9
2010,stocks_above_hard_limit,93.8
2011,stocks_above_hard_limit,93.9
2012,stocks_above_hard_limit,93.9
2013,stocks_above_hard_limit,93.5
2014,stocks_above_hard_limit,94.3
2015,stocks_above_hard_limit,94
