@relation MyFinal

@attribute ﻿Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute difficulty {Easy,Easiest,'Easiest,Easy','Advanced,Expert',Advanced,Intermediate,Expert,'Easy,Advanced','Easiest,Advanced','Easy,Expert','Intermediate,Advanced','Intermediate,Advanced,Expert'}
@attribute completionTime numeric

@data
59.100195,174.866523,-41.255969,Easy,10
70.688113,174.071833,-35.319954,Easy,30
81.690257,173.857523,-35.715147,Easy,10
89.895016,173.084357,-34.72311,Easiest,20
100.49515,171.327566,-42.115168,'Easiest,Easy',20
116.099977,167.713095,-45.430106,Easy,10
125.59567,173.371187,-35.53639,Easiest,5
137.869322,176.346294,-38.175303,Easiest,10
139.071821,176.215495,-38.401156,Easiest,5
140.472352,172.26327,-42.530454,'Advanced,Expert',10
143.563654,168.010272,-45.029872,Easiest,5
151.515708,174.39006,-36.06467,Easy,30
169.014441,169.374993,-46.607301,Easy,5
169.623794,173.963922,-35.218832,Easiest,15
176.019142,174.166833,-35.231833,Easy,10
183.425736,175.723153,-39.647959,Easiest,10
198.785612,172.90087,-41.032832,Easiest,5
200.304806,174.86266,-38.255394,Easiest,45
207.061535,176.703164,-38.639828,Easiest,10
208.282912,173.835274,-40.926076,Easiest,15
221.775843,174.86861,-38.39478,Easy,10
225.475259,172.600785,-40.553064,Easy,20
227.28721,172.616985,-41.690615,Easiest,15
228.156586,170.979941,-45.121842,Easy,10
246.126518,173.562458,-35.673319,Easiest,5
253.340026,173.399456,-34.827235,Easiest,5
253.663449,173.527402,-35.600637,Easiest,20
259.749932,174.900665,-38.260264,Easiest,15
265.195776,172.595774,-41.795853,Easiest,15
274.102216,175.66148,-38.648026,Easy,10
276.577581,170.113196,-46.001617,Easiest,30
285.522422,169.240973,-44.994596,Easy,15
285.833325,175.10037,-39.913177,Easiest,20
291.435803,173.532676,-35.608515,Easiest,5
310.083959,171.018026,-42.955987,Easiest,15
316.659793,170.206333,-43.248793,Easiest,30
320.913806,174.128407,-35.893382,Easy,55
329.691574,171.244288,-43.905564,Easy,60
338.651466,-176.352583,-43.799643,Easy,20
344.817084,168.331068,-44.824082,Advanced,180
347.853214,170.029211,-43.492498,Easiest,20
348.833726,174.111633,-35.284448,Easy,10
368.775096,176.231094,-40.900828,Easiest,30
372.077664,168.66641,-44.983279,Easy,20
379.285702,173.380355,-34.967306,Easy,10
379.806838,174.849178,-38.260527,Easiest,20
384.148629,170.826236,-45.346313,Easiest,10
385.910448,167.381015,-45.747309,Advanced,45
386.158043,174.866137,-41.259483,Easy,30
402.240416,173.74911,-35.253707,Easy,120
405.583912,177.959861,-38.596339,Easiest,15
409.910677,176.947083,-38.012622,Easiest,30
414.713412,175.928506,-37.870343,Advanced,20
417.154485,167.950341,-44.721436,Easiest,20
421.040669,173.963922,-35.218832,Easy,20
432.05117,174.11984,-35.243857,Easy,15
432.157044,174.422958,-35.43504,Easy,105
445.51052,174.121709,-39.306651,Easiest,15
448.418346,175.90823,-40.081266,Easy,20
452.642071,173.942699,-35.214249,Easiest,10
462.922717,176.298653,-37.949059,Advanced,45
465.34858,174.283623,-35.587617,Easy,20
471.474277,170.703804,-45.781449,Easiest,30
475.368881,170.563195,-43.15245,Easiest,30
484.783467,167.387268,-45.991931,Easy,40
487.723217,170.184529,-43.392953,Easiest,30
494.696087,174.930317,-41.348952,Easy,30
512.828967,175.077463,-38.265829,Easiest,45
514.51369,174.205583,-36.101686,Easiest,15
516.548047,176.816969,-39.919087,Easiest,20
523.218317,175.077648,-40.877868,Easiest,30
