Shape__Length,X,Y,difficulty,completionTime
59.10019458,174.866523,-41.25596885,Easy,10
70.68811297,174.0718331,-35.31995421,Easy,30
81.69025743,173.8575231,-35.71514731,Easy,10
89.8950159,173.0843569,-34.72311026,Easiest,20
100.4951503,171.3275657,-42.11516818,"Easiest,Easy",20
116.0999774,167.7130949,-45.43010561,Easy,10
125.5956702,173.3711868,-35.5363898,Easiest,5
137.8693219,176.346294,-38.1753034,Easiest,10
139.0718214,176.2154953,-38.40115559,Easiest,5
140.4723515,172.2632699,-42.53045359,"Advanced,Expert",10
143.563654,168.010272,-45.02987184,Easiest,5
151.5157082,174.3900604,-36.06466969,Easy,30
169.0144405,169.3749931,-46.60730144,Easy,5
169.6237935,173.963922,-35.21883242,Easiest,15
176.0191419,174.1668331,-35.2318329,Easy,10
183.4257357,175.723153,-39.64795928,Easiest,10
198.7856121,172.9008705,-41.03283154,Easiest,5
200.3048062,174.8626603,-38.25539436,Easiest,45
207.0615346,176.7031643,-38.63982751,Easiest,10
208.2829124,173.8352737,-40.92607571,Easiest,15
221.7758425,174.8686103,-38.39478042,Easy,10
225.4752594,172.600785,-40.55306425,Easy,20
227.2872097,172.6169847,-41.69061454,Easiest,15
228.1565857,170.9799408,-45.12184201,Easy,10
246.1265182,173.5624576,-35.67331867,Easiest,5
253.3400256,173.3994557,-34.82723525,Easiest,5
253.6634487,173.5274021,-35.60063695,Easiest,20
259.7499315,174.900665,-38.26026375,Easiest,15
265.1957755,172.595774,-41.79585298,Easiest,15
274.1022157,175.6614796,-38.64802625,Easy,10
276.5775809,170.1131962,-46.00161732,Easiest,30
285.522422,169.2409731,-44.99459593,Easy,15
285.8333245,175.1003698,-39.91317677,Easiest,20
291.4358031,173.5326764,-35.60851491,Easiest,5
310.0839589,171.0180265,-42.95598682,Easiest,15
316.6597928,170.2063326,-43.24879289,Easiest,30
320.9138059,174.1284069,-35.8933822,Easy,55
329.6915735,171.2442882,-43.90556411,Easy,60
338.6514663,-176.3525828,-43.79964273,Easy,20
344.8170835,168.3310682,-44.82408174,Advanced,180
347.8532139,170.0292106,-43.49249803,Easiest,20
348.8337255,174.1116327,-35.28444771,Easy,10
368.7750957,176.2310942,-40.90082806,Easiest,30
372.0776642,168.6664099,-44.98327853,Easy,20
379.2857021,173.3803554,-34.96730613,Easy,10
379.8068377,174.8491785,-38.26052732,Easiest,20
384.1486287,170.826236,-45.34631272,Easiest,10
385.910448,167.3810152,-45.74730919,Advanced,45
386.1580429,174.8661365,-41.25948258,Easy,30
402.2404159,173.7491103,-35.25370741,Easy,120
405.5839122,177.9598612,-38.59633908,Easiest,15
409.9106773,176.947083,-38.01262153,Easiest,30
414.7134115,175.928506,-37.87034285,Advanced,20
417.1544846,167.9503414,-44.72143622,Easiest,20
