Shape__Length,X,Y,difficulty,comletionTime
710.599218,176.296638,-39.93176,Easiest,?
253.340026,170.699755,-45.874304,Easiest,?
704.500823,172.401476,-42.379524,Easiest,?
7757.580872,173.774442,-41.071428,Easy,?
2505.452773,176.672925,-38.681779,Easy,?
9187.601994,172.040289,-43.192033,Advanced,?
5556.543874,176.329267,-38.187429,Easy,?
2078.316122,168.676771,-44.834635,Intermediate,?
3102.162016,173.779795,-41.267705,EasiestEasy,?
2570.670601,175.471081,-40.904241,Easy,?
10301.39398,167.965692,-44.936069,Expert,?
1967.638846,174.936556,-41.343213,Easy,?
1350.7861,174.120517,-35.259699,Easy,?
586.56089,173.533952,-35.609472,Easiest,?
15362.99521,172.70981,-42.298949,Advanced,?
4895.490784,168.923108,-45.066618,Advanced,?
2462.407093,172.250399,-43.198676,Easy,?
552.552702,168.126725,-44.695017,Easy,?
45641.02679,167.375506,-46.184771,Intermediate,?
1162.419368,176.456091,-38.248426,Easiest,?
417.154485,-176.352583,-43.799643,Easy,?
1479.670194,169.704421,-46.503775,Easy,?
7240.026853,168.72013,-45.062914,Easy,?
225.475259,171.192469,-42.647555,Easiest,?
742.12362,170.64844,-45.755952,Easy,?
1207.195197,175.148006,-37.967949,Easiest,?
2992.429545,177.800795,-38.984819,Advanced,?
6844.789438,175.152849,-40.859313,Easy,?
993.345742,174.933818,-38.457651,Easy,?
859.172062,174.900665,-38.260264,Easiest,?
44224.98397,177.150494,-38.709237,Advanced,?
2415.457998,175.243478,-38.534205,Advanced,?
207.061535,170.61639,-45.73544,Easy,?
3432.070434,175.771202,-37.317907,Easy,?
2028.361376,174.863902,-41.257577,Easy,?
1141.356448,175.531185,-37.862099,Easiest,?
608.574408,167.923959,-44.671518,Easiest,?
100.49515,167.928178,-44.672785,Easy,?
53855.50795,167.78562,-44.813536,Intermediate,?
310.083959,174.166833,-35.231833,Easy,?
3808.872839,173.943753,-34.997925,Easy,?
2553.998415,174.437713,-35.787241,Easy,?
414.713412,175.875008,-38.934073,Easiest,?
4399.689845,169.161575,-44.692078,Easy,?
1823.821482,174.509999,-35.820988,Easy,?
8915.38282,174.625903,-38.922361,Advanced,?
5442.775039,174.581749,-38.884758,Advanced,?
1793.448185,177.119788,-38.344263,Easiest,?
732.428721,-176.572908,-43.761778,Easy,?
24559.71717,173.776912,-41.168818,Advanced,?
1640.837209,168.173979,-46.971251,Easiest,?
276.577581,173.830112,-42.244223,Easiest,?
4208.456849,175.392303,-38.992728,Easy,?
137.869322,176.346294,-38.175303,Easiest,?
22819.93446,173.297923,-41.546497,Advanced,?
4960.77004,177.14835,-38.791853,Advanced,?
719.681471,173.627554,-35.239921,Easy,?
1696.989448,175.163979,-38.524621,Easy,?
1873.107038,170.250498,-45.844638,Easy,?
587.950289,168.66641,-44.983279,Easy,?
975.848555,171.327566,-42.115168,EasiestEasy,?
17562.7012,172.783555,-34.453403,Easy,?
2174.668886,173.773222,-41.049752,Easy,?
5227.425548,171.227776,-42.38512,Easy,?
1446.18146,173.791274,-35.211012,Easy,?
5355.20372,172.729844,-40.854566,Easy,?
516.548047,169.561412,-46.51767,Easiest,?
25306.53165,168.061376,-46.873639,Intermediate,?
2629.400057,176.014874,-38.736196,Easy,?
4102.527376,176.045401,-39.754815,Advanced,?
465.34858,173.084357,-34.72311,Easiest,?
1693.526664,174.043296,-39.103996,Easiest,?
1590.882815,172.861803,-40.881495,Easy,?
1067.392715,170.029953,-43.489913,Easy,?
347.853214,170.029211,-43.492498,Easiest,?
11140.05051,168.145,-44.80218,Intermediate,?
4833.243419,168.126726,-44.818123,Intermediate,?
3195.585901,168.119366,-44.816882,Intermediate,?
4288.635758,171.530181,-43.546471,Advanced,?
2525.43211,175.854252,-37.613448,Advanced,?
227.28721,170.168012,-43.424834,Easiest,?
2355.609303,174.415247,-35.678533,Easy,?
2104.215157,175.961235,-38.697811,Easy,?
4307.521735,170.175116,-46.041602,Easy,?
28176.66192,171.443393,-42.849924,Expert,?
941.320741,174.979872,-38.072686,Easiest,?
2444.081838,168.720757,-45.319567,Easy,?
200.304806,176.215495,-38.401156,Easiest,?
3217.853171,178.040014,-38.640642,Easy,?
3619.160677,175.192925,-38.951588,Easy,?
12092.28809,175.829158,-37.601234,Advanced,?
3527.871843,176.316866,-38.188637,Advanced,?
11208.485,172.345614,-42.551437,Advanced,?
811.209813,170.455389,-45.920678,Easy,?
5277.158666,173.721732,-35.022982,Intermediate,?
8363.090536,174.062191,-41.52288,Easy,?
2358.053015,174.133563,-35.887947,Easy,?
878.072282,175.061885,-37.293299,Easiest,?
3351.968953,174.281651,-35.253694,Easy,?
5185.441629,174.164199,-39.291894,Easy,?
