@relation Challange-AB-Train2-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute completionTime {2_-_3_hr,30_min,3_-_5_days,1_hr,6_hr_one_way,15-30_min_one_way,6_-_8_hr,8_hr,1_hr_30_min_return,5_min,20_min,4_hr,3-5_days,2_hr,2-3_days,3_hr_circuit,2_-_4_days,20_to_45_min,10_min_|_2_hr,3_hr_30_min,4_-_5_days,At_your_leisure,2_h_40_min,2_hr_|_4_-_5_hr_one_way,5_-_6_hr_,2_days,3_hr_one_way,2.5_hr,1_hr_30_min,2-3_hr,'3-4_hr_to_Ben_Lomond_Saddle,_6-8_hr_to_Ben_Lomond_',1_hr_30_min_one_way_from_Turere_Bridge,30_min_return,4_-_5_hr,1_hr_one_way,30_min_to_1_hr,1_hr_return,2-3_hr_one_way,3_-4_hr,3_hr,5_hr_one_way,1-2_hr,20_min_one_way,40_min_return,9_hr_one_way,6-_8_hr,2.5_-_3.5_hr_to_tops,6_-_8_hr_return,5_min_-_10_hr,20_min_-_1_hr,1_hr_,20-25__min,6_hr,4_-_6_hr,1.5_hr_one_way,8_-_9_hr_return,'6_hr_going_south,_7_hr_going_north',10_-_20_min,2_hr_one_way,45_mins,3_hr_30_min_one_way,1_hr_20_min,4_-_5_hr_one_way,3_-_4_hr,1_hr_-_1_hr_40,3_hr_50_min_one_way,1_hr_15_min_one_way,5_hr_return,10_min,1_-_2_days_to_cross_saddle,2_-_3_days,30_min_one_way,One_long_or_two_shorter_days,1_hr_30_min_one_way,2_hr_30_min_-_3_hr_one_way,Various_times_up_to_3_hr,2_hr_30_min_one_way,15_min,2_hr_30_min,7_hr_one_way,7_hr_return,1-2_days,30_m_-_2_hr,10_min_and_1_hr,2–3_hr_return,1_hr_20_min_one_way_|_3_hr_30_min_-_4_hr_return,5_min_one_way_|_10_min_one_way,1_hr_30_min_-_2_hr,1_hr_30_min_return_or_3-4_hr_full_circuit,40_min_-_6_hr,45_min_one_way,Various_times_under_3_hr,40_min_one_way,5-7_days,8-_10_days,30_min_or_2_-_3_hr,8_-_12_hr_return,1_-_2_days,2_hr_one_way_to_river_forks,3–4_hr,2_-_3_days_,4_-_5_hours_to_tops,45_min_one_way_|_1_hr_one_way,'4_hr_to_bush_edge,_6_-_8_hr_to_rock_bivvy',5–6_hr_return,Various_times_under_5_hr,15_min_-_1_hr,5_–_6_hr_return,30_min_-_1hr,Various_times_under_4_hr,5_hr,5-6hr,5_hr_30_min,6_hr_-_7_hr_30_min_one_way,3_hr_30_min_-_4_hr_return,3-4_days_one_way,4-6_hr,1_-_3_hr,3_-_4_days,Various:_5_min_-_3_hr_30_min_return,2_-_4_hr,1_-_2_hr,45_min_to_1_hr_one_way,8_hr_|_11_hr_one_way,4_hr_30_min,4_-_6_hr_return,3_or_6_hr_to_hut,4_days,45_min,7_hr_30_min,2_-_3_hr_return,30_min_|_4_-_5_hr,2_hr_45_min,4-5_days,40_min,4_-_6_days,2_hr_return_,3_hrs_30_min,1_hr_30_min_|_2_hr_30_min,3_-_4_hr_one_way,3_days,'Powell_Hut:_5_–_6_hr,_Mount_Holdsworth:_7_–_8_hr',5_-_6_hr_return,3_hr_return,7_-_11_hr_30_min_hr_one_way,3_hr_45_min_one_way,10_min_|_1_hr_30_min,3_days_/_3_nights,3_hr_to_bush_edge,Up_to_9_hr_one_way,5_-_7_hr,20_min_-_2_hr,30_min_one_way_|_2_hr_one_way,3_-_3_hr_30_min_one_way,5_min_-_3_hr,20_min_|_30_min,1_hr_30_min_to_the_trig,45_min_|_4_hr_one_way,8-9_hr_or_shorter_walks_from_20_min_to_2_hr,1_hr_15_min,15-30_min_return,3_hr_30_min_-_4_hr,6_hr_return,2_hr_30_min_return,6-8_hr,20_and_45_mins_one_way,25_min_to_3_hr,45_min_or_4_hr_return,2_days_+,2_-_3_hr_30_min_one_way,55_min_one_way,40_min_|_2_hr,2_hr_|_3_hr,8_-_10_hr_return,20_min_one_way_|_40_min_one_way,2_hr_30_min_-_3_hr_30_min,3-4_days,1-3_hr_return,8-10_hr_return,2.5_hr_one_way,3_-_3_hr_30_min_return,30_m,1_hr_-_1_hr_30_min,8_-_10_hr,1hr_30_min_-_2_hr,1_hr_to_hut_|_2_hr_30_min_loop_from_hut,Various_times:_3_-_8_hr_return,7–8_hr_,Various_times,4_hr_return,9_hr,10_-_12_hr,10_min_|_45_min_|_1_hr_|_3_hr_one_way,2_min_-_15_min,6-7_hr_over_1-2_days,'20_min_return_to_falls,_3_hr_return_to_lake',Various:_40_min_-_3_hr_one_way,Various:_10_min_-_2_hr_one_way,7-10_hr,25_m_-_3_hr,7_hr,1_hr_40_min,Various:_1_hr_30_min_-_3_hr,20_min_/_2_or_5_hr,3.5_hr,6_-_9_days_one_way,3_-_15_hr_return,4–7_hr_return,5_hr_30_min__-_6_hr_30_min_one_way,4_-_5_hr_return,3-4_hr,10_min_-_30_min,8_hr_,2_-_3_hr_one_way,1.5_hr,5-7_hr_one_way,2_hr_-_2_hr_30_min,15-30_min,3_-_5_hr_one_way,'6_-_7_hrs_going_south,_7-_8_hrs_going_north',9-10_hr,3-4_hr_one_way,8_hr_return,5_hr_30_min_return,Various_times_around_6_hr,1_hr_45_min,20_-_30_min_loop,5_min_one_way,55_min,1_hr_30_min_to_Maunganui_Bluff_|_5_hr_to_Waikara_B,10_m,2+_days,30_min/1_hr,10_min_-_2_hr,1.5_-_2_hr_return,'7-9_hr_to_lake,_9-11_hr_to_bivvy_rock',1_hr_50_min,1_-_2_hr_return,Various:_1_-_1_hr_30_min,3_hr_30_min_-_4_hr_30_min_one_way,1_hr_45_min_to_the_summit_one_way,7_hr_30_min_-_9_hr,6_hr_30_min,5_hr_return_to_bush_edge,Half_day,_Up_5-6_hr;_down_3-4_hr,5–6_hr_one_way,45_min_return,2-4_hr,5_hr_40_min_to_hut,45_min_-_3_days,12_hr,2_-_3_hr_one_way_|_3_-_4_hr_30_min_one_way,10_hr,2_-_3_hrs,'Northern_access:_9_hr,_Southern_access_7_hr',4–6_hr_return,1_hr_30_min_one_way_to_summit_or_3_hr_30_min_one_w,4–7_hr,4_hr_one_way,20_min_-_1_hr_30_min,Various_times_over_4_hr_return,5_-_7_hr_30_min,4-5_hr_one_way,6_-_8_hours_to_hut,Various_times_under_1_hr,9_-_11_days,5_-_7_days,Various_times_under_40_min,9.5_hr,4_or_5_hr_return,4_hr_30_min_walk,10_mins,20_min_-_3_hr_30_min,6_hr_|_2hr,10_min_one_way,30_min_or_1_hr,15_min_,30_-_50_min,40_min_–_2_hr_depending_on_route,2_hr_30_min_for_complete_island_circuit,Various_times_under_2_hr,15_min_one_way,4_hours_return,6_-_7_hr,10_min_return,10_min_|_20_min,40_min_-_1_hr,1_–_2_hr_return,4_hr_30_min_one_way,11-12_hr,3_-_3.5_hr_return,4-5_hr_return_to_hut,4-6_hr_return,Various_from_5_min_-_4_hr,Various:_30_min_-_7_hr_,2_–_4_hr_return_depending_on_route,4_-_6_hr_one_way,Various:_30_min_-_4_hr_one_way,4_hr_|_9_hr_|_7_hr_one_way,7_hr_30_min_-_9_hr_30_min,45_min_or_1_hr_20_min,1hr_50_min,30_min_|_2_hr_one_way,10_min_-_1_hr,3_days_,Under_1_hr_return,2_hr_return,3-5_hr_return,3_hr_walk_from_Kaitoke,20_min_,5_hr_20_min,'6_hr_to_hut,_then_4_-_5_hrs_to_bushline',5_hr_30_min_-_6_hr,2-4_days,5-6_hr,1_hr_|_1_hr_30_min_one_way,4–6_hr,2.5_km_return,2_hr_30_min_-_3_hr,'2_hr_return_to_the_bushline,_5_hr_return_to_Sawyer',5-7_hr_return,1_-_1.5_hr,10-11_hrs,'7_hr_to_Port_Craig,_4_days_to_Big_River',4_-_6_days_round_trip_from_Freshwater_landing,5_days,45_min_-_1_hr_return,8-11_hr_(Routeburn_carpark_-_Lake_Sylvan),40_-_60_m,5_-_10_min,1_hr_5_min_one_way,Various:_30_min_-_2_hr,45_-_60_min_one_way,2_or_3_hr_one_way,15_-_30_min,Various_from_2_-_7_hr,2_hr_,3_–_4_hr_to_Huia_Street,3_hr_45_min_to_junction_one_way_from_car_park,1–2_days,2_hr_20_min,20_min_-_3_hr,6_-_8_hr_one_way,7-8_hr_(allow_full_day),2_-_3_hours,4_-_7_days,30_min_one_way_|2_hr_return,40_-_50_min_return,4_hr_30_min_-_5_hr,Various:_15_min_-_8_hr,2_or_4_hr_one_way,6_-_6_hr_30_min,3_days_+,1_hr_30__min-_2_hr,50_min,14_hr,10_hr_one_way,1_hr_20_min_return,2_or_5_hr,10_min_|_20_min_one_way,4_hours_one_way,15_min_return,'8_hr_(return),_3-4_hrs_one_way',5_-_7_hr_one_way,10_m_-_2_hr,7_hrs_(south_to_north),4_-_6_days_one_way,12_hr_one_way,5_or_6_hr_return,Various:_2_hr_30_min_-_6_hr,4_hr_30_min_|_8_hr,40_min_/_1_hr,7_hrs_to_Wainuiomata,2_hr_30,25_min,Various:_1_-_6_hr_one_way,2_-_3_hr_|_2_hr_one_way,3-4_days_to_Whitcombe_Pass,30_min_/_40_min,up_to_8_hr,10_min_-_9_hr,20_min_return,7_-_10_hr,5_-_6_hr,10_min_|_3_hr_one_way,1_hr_return_|_2_hr_return,2_hr_30_min_or_8_hr_30_min_return,3_hr_30_min_-_4_hr_30_min,2_hr_30_min_-_3_hr_30_min_one_way}

@data
2456.580522,176.020756,-40.113454,2_-_3_hr
710.599218,176.296638,-39.93176,30_min
64698.66557,173.01755,-40.865111,3_-_5_days
3027.133188,176.883435,-39.481932,1_hr
16480.86178,169.636091,-44.185669,6_hr_one_way
1306.951378,174.045518,-35.191977,15-30_min_one_way
19457.4311,169.032178,-44.34282,6_-_8_hr
7570.157857,170.158842,-43.41486,8_hr
2453.599699,176.01538,-39.956022,1_hr_30_min_return
253.340026,170.699755,-45.874304,5_min
704.500823,172.401476,-42.379524,20_min
62220.71144,173.2067,-41.519337,?
4499.005844,175.854721,-37.503661,4_hr
50620.79428,172.678597,-40.92487,3-5_days
4049.057185,178.30843,-38.231307,2_hr
34534.85086,172.784208,-41.853425,2-3_days
4300.234973,174.171412,-41.074119,2_hr
21512.77157,175.293764,-41.531178,2-3_days
5487.000645,172.622902,-40.752098,3_hr_circuit
41684.30391,175.402013,-36.212791,2-3_days
42031.77798,171.272982,-42.858702,2_-_4_days
471.474277,170.703804,-45.781449,20_to_45_min
6771.845557,176.110799,-38.628673,10_min_|_2_hr
7757.580872,173.774442,-41.071428,3_hr_30_min
2505.452773,176.672925,-38.681779,4_hr
92893.99727,174.093759,-39.272137,4_-_5_days
296.391893,168.827517,-44.937589,At_your_leisure
3584.226633,171.558994,-42.921434,2_h_40_min
10853.43685,172.692975,-41.129359,2_hr_|_4_-_5_hr_one_way
12250.87705,175.138814,-39.727109,6_-_8_hr
3531.871516,168.662001,-44.913323,5_-_6_hr_
11802.6525,171.545676,-42.944997,2_days
5676.3247,171.547716,-42.936471,6_-_8_hr
4112.017564,170.064188,-44.12643,3_hr_one_way
3438.489096,171.40168,-42.62704,2.5_hr
3420.027343,169.146338,-45.077094,1_hr_30_min
4142.722385,175.822099,-40.149567,2-3_hr
494.696087,169.652999,-44.405622,30_min
4651.883408,168.637745,-45.019637,'3-4_hr_to_Ben_Lomond_Saddle,_6-8_hr_to_Ben_Lomond_'
3105.242282,174.989888,-41.333022,1_hr_30_min_one_way_from_Turere_Bridge
20292.35485,171.893629,-42.245969,?
622.142677,167.63541,-45.866411,30_min_return
9922.033971,175.679367,-37.055344,4_-_5_hr
2306.367613,169.624462,-44.378172,1_hr_one_way
9187.601994,172.040289,-43.192033,2_days
5556.543874,176.329267,-38.187429,1_hr_30_min
4692.15523,169.810247,-44.870071,30_min_to_1_hr
1841.243254,170.163227,-43.698027,1_hr_return
753.804929,169.276287,-44.164198,1_hr_return
15933.36448,169.213288,-44.122941,2-3_hr_one_way
5804.666811,169.257199,-44.178803,3_-4_hr
6103.025764,175.779968,-37.464687,3_hr
10601.79703,172.330205,-43.160646,5_hr_one_way
2679.396934,168.498223,-45.073051,1-2_hr
6431.935,168.527468,-45.073321,20_min_one_way
1532.179283,167.536451,-45.775989,40_min_return
19079.71901,167.365678,-45.77403,9_hr_one_way
2302.309487,169.20796,-44.341021,6-_8_hr
20568.70838,176.824863,-39.123802,?
78581.5092,176.207756,-39.031802,2_-_4_days
4875.397827,167.983534,-45.141192,2.5_-_3.5_hr_to_tops
15835.97455,170.245221,-43.926994,3_hr_one_way
329.691574,167.156411,-45.463651,1_hr_return
45975.23511,169.435318,-44.528134,2_days
2721.120865,169.398927,-44.084268,6_-_8_hr_return
1887.201153,174.972767,-39.274488,1_hr_30_min_return
3509.844119,169.344465,-44.120615,1_hr_30_min
10258.28091,175.719197,-37.104372,5_min_-_10_hr
1583.815385,175.524361,-39.964676,20_min_-_1_hr
685.077638,171.324149,-42.434374,1_hr_
2082.121385,174.823378,-37.825896,20-25__min
19109.83003,174.492588,-36.070991,6_hr
10723.18039,168.686902,-44.818458,4_-_6_hr
4406.891394,167.536345,-45.79223,1.5_hr_one_way
8075.612675,175.388984,-36.095533,8_-_9_hr_return
12803.32642,175.526895,-40.551229,'6_hr_going_south,_7_hr_going_north'
228.156586,170.979941,-45.121842,10_-_20_min
3219.655421,170.608004,-45.894094,1_hr_30_min
1402.645063,174.937509,-41.353807,2_hr_one_way
1100.994072,169.211242,-44.673502,45_mins
9121.186234,173.391475,-41.173324,3_hr_30_min_one_way
2485.150805,170.187288,-43.393405,1_hr_20_min
3330.68786,176.339171,-39.372495,?
5731.120804,169.31935,-44.176629,4_-_5_hr_one_way
15212.89282,170.644062,-43.77832,3_-_4_hr
1529.82184,170.1661,-43.384607,1_hr_-_1_hr_40
4206.429489,169.585198,-44.217976,3_hr_50_min_one_way
4395.838145,174.317971,-35.185072,8_hr
3200.259742,171.459206,-41.765011,1_hr_15_min_one_way
8800.802075,177.008223,-39.639904,5_hr_return
379.285702,172.678853,-34.428065,10_min
15289.57149,171.513901,-43.000999,2_days
15478.15126,168.629884,-44.493628,1_-_2_days_to_cross_saddle
40630.72832,171.79335,-42.993007,2_days
31680.65758,171.692142,-43.095396,2_-_3_days
5469.349914,174.930317,-41.348952,30_min
169.014441,169.374993,-46.607301,30_min_one_way
1929.69533,175.799053,-36.833353,1_hr_30_min_return
13177.35796,169.458978,-46.438751,One_long_or_two_shorter_days
10550.88909,174.953692,-41.349277,1_hr_30_min_one_way
813.033133,171.74313,-43.19644,1_hr
26050.82296,173.239395,-41.578603,2-3_days
4694.175046,170.406442,-45.815645,3_hr_30_min
9261.72863,171.881282,-41.609507,2_hr_30_min_-_3_hr_one_way
22586.07195,172.657202,-43.785403,?
8612.261616,171.252206,-43.895417,Various_times_up_to_3_hr
15683.91079,174.963064,-41.323389,2_hr_30_min_one_way
7228.876914,169.477881,-44.912381,4_-_6_hr
4627.250988,172.695363,-41.182245,3_hr_one_way
1699.139854,171.261687,-42.40843,1_hr
8529.46922,172.660372,-41.128209,6_hr_one_way
12280.30351,172.566012,-41.09025,4_-_5_hr_one_way
274.102216,169.410963,-44.935836,15_min
5785.583899,176.286056,-39.488808,2-3_hr
2396.203775,178.326936,-38.382781,2_hr_30_min
15595.85971,169.879717,-43.610281,7_hr_one_way
9924.025144,175.880748,-40.240002,?
16519.88997,175.411796,-36.496528,7_hr_return
19048.16548,169.193467,-44.495988,1_hr
22504.97753,171.378207,-42.289944,1-2_days
4399.801591,175.736485,-37.427996,1_hr_one_way
14964.48335,168.850456,-46.059176,30_m_-_2_hr
2078.316122,168.676771,-44.834635,2_hr
3102.162016,173.779795,-41.267705,10_min_and_1_hr
5170.154511,174.110002,-39.294086,2–3_hr_return
7506.947907,175.77963,-37.463674,4_hr
8729.446131,174.107831,-39.316817,1_hr_20_min_one_way_|_3_hr_30_min_-_4_hr_return
1291.993521,174.105836,-39.325001,5_min_one_way_|_10_min_one_way
4778.203198,174.101437,-39.319404,?
4194.092809,168.153543,-44.744398,5_hr_one_way
10677.84687,169.189216,-44.676738,1_hr_30_min_-_2_hr
1243.332956,170.356162,-44.64319,1_hr_one_way
4014.430804,176.017711,-39.985991,1_hr_30_min_return_or_3-4_hr_full_circuit
1456.714926,176.220661,-40.90463,1_hr_30_min_return
7011.897881,171.784903,-41.733391,40_min_-_6_hr
1466.475232,171.244288,-43.905564,1_hr_return
663.448476,171.560953,-42.935233,1_hr_return
2709.911463,168.389411,-44.775691,45_min_one_way
5708.404074,168.966129,-44.644941,Various_times_under_3_hr
12051.86045,169.355005,-44.45757,6_-_8_hr
34817.02606,169.513451,-44.358808,2_-_3_days
11737.91407,174.645426,-36.345696,7_hr_one_way
1042.931191,174.613087,-36.361774,40_min_one_way
4084.883551,174.629215,-36.361346,1_hr_30_min_one_way
2570.670601,175.471081,-40.904241,1_hr
10301.39398,167.965692,-44.936069,8_hr
2935.691212,171.327425,-43.311968,?
33970.53043,172.26327,-42.530454,?
32787.71623,172.571301,-40.94437,5-7_days
1637.199197,170.178554,-43.415841,1_hr
4713.889658,169.70207,-44.512777,6_-_8_hr
8407.944413,169.450396,-44.90708,4_-_6_hr
592.948933,173.733009,-35.013562,45_min_one_way
62747.805,167.081145,-45.674902,8-_10_days
5060.519948,169.357478,-45.246475,30_min_or_2_-_3_hr
8048.44482,168.427305,-44.710914,8_-_12_hr_return
20384.36035,169.749292,-44.35532,1_-_2_days
7337.96206,168.057576,-45.040664,2_hr_one_way_to_river_forks
20104.45271,168.816888,-44.437913,3–4_hr
29384.06784,171.656449,-42.931492,2-3_days
27235.40859,171.681027,-42.877332,2_-_3_days_
2966.500096,167.48035,-45.74513,4_-_5_hours_to_tops
4720.027796,175.857056,-37.631957,4_-_5_hr
18463.47308,172.687686,-41.233546,2_days
2658.043846,171.229226,-43.896482,45_min_one_way_|_1_hr_one_way
544.798546,174.282586,-39.122187,?
6444.065441,169.907369,-44.611659,3_hr
3619.967098,168.073669,-44.830172,'4_hr_to_bush_edge,_6_-_8_hr_to_rock_bivvy'
1377.753308,175.334371,-36.524916,30_min_one_way
4256.800389,174.083764,-39.314412,5–6_hr_return
27414.47857,172.711117,-40.508941,Various_times_under_5_hr
405.583912,173.972534,-41.189484,15_min_-_1_hr
4877.293726,175.24258,-40.896882,5_–_6_hr_return
6032.525777,173.410899,-34.829147,3_hr
5128.947229,176.074532,-38.761418,30_min_-_1hr
1967.638846,174.936556,-41.343213,1_hr_30_min
1350.7861,174.120517,-35.259699,30_min
7876.65818,172.734368,-41.193403,Various_times_under_4_hr
176.019142,172.595774,-41.795853,15_min
13650.04875,175.381562,-36.20442,5_hr
2477.083467,168.356564,-44.776229,5-6hr
586.56089,173.533952,-35.609472,10_min
15362.99521,172.70981,-42.298949,5_hr_30_min
