Shape__Length,X,Y,'prediction margin','predicted completionTime',completionTime
710.599218,176.296638,-39.93176,-0.000343,1_hr,?
253.340026,170.699755,-45.874304,-0.000303,1_hr,?
704.500823,172.401476,-42.379524,-0.000303,1_hr,?
7757.580872,173.774442,-41.071428,-0.000316,1_hr,?
2505.452773,176.672925,-38.681779,-0.000343,1_hr,?
9187.601994,172.040289,-43.192033,-0.000316,1_hr,?
5556.543874,176.329267,-38.187429,-0.000343,1_hr,?
2078.316122,168.676771,-44.834635,-0.000303,1_hr,?
3102.162016,173.779795,-41.267705,-0.000303,1_hr,?
2570.670601,175.471081,-40.904241,-0.000303,1_hr,?
10301.39398,167.965692,-44.936069,-0.000303,1_hr,?
1967.638846,174.936556,-41.343213,-0.000303,1_hr,?
1350.7861,174.120517,-35.259699,-0.000356,1_hr,?
586.56089,173.533952,-35.609472,-0.000356,1_hr,?
15362.99521,172.70981,-42.298949,-0.000316,1_hr,?
4895.490784,168.923108,-45.066618,-0.000303,1_hr,?
2462.407093,172.250399,-43.198676,-0.000303,1_hr,?
552.552702,168.126725,-44.695017,-0.000303,1_hr,?
45641.02679,167.375506,-46.184771,-0.000316,1_hr,?
1162.419368,176.456091,-38.248426,-0.000343,1_hr,?
417.154485,-176.352583,-43.799643,-0.000303,1_hr,?
1479.670194,169.704421,-46.503775,-0.000303,1_hr,?
7240.026853,168.72013,-45.062914,-0.000303,1_hr,?
225.475259,171.192469,-42.647555,-0.000316,1_hr,?
742.12362,170.64844,-45.755952,-0.000303,1_hr,?
1207.195197,175.148006,-37.967949,-0.000343,1_hr,?
2992.429545,177.800795,-38.984819,-0.000343,1_hr,?
6844.789438,175.152849,-40.859313,-0.000316,1_hr,?
993.345742,174.933818,-38.457651,-0.000343,1_hr,?
859.172062,174.900665,-38.260264,-0.000343,1_hr,?
44224.98397,177.150494,-38.709237,-0.000356,1_hr,?
2415.457998,175.243478,-38.534205,-0.000343,1_hr,?
207.061535,170.61639,-45.73544,-0.000303,1_hr,?
3432.070434,175.771202,-37.317907,-0.000356,1_hr,?
2028.361376,174.863902,-41.257577,-0.000303,1_hr,?
1141.356448,175.531185,-37.862099,-0.000343,1_hr,?
608.574408,167.923959,-44.671518,-0.000303,1_hr,?
100.49515,167.928178,-44.672785,-0.000303,1_hr,?
53855.50795,167.78562,-44.813536,-0.000316,1_hr,?
310.083959,174.166833,-35.231833,-0.000356,1_hr,?
3808.872839,173.943753,-34.997925,-0.000356,1_hr,?
2553.998415,174.437713,-35.787241,-0.000356,1_hr,?
414.713412,175.875008,-38.934073,-0.000343,1_hr,?
4399.689845,169.161575,-44.692078,-0.000303,1_hr,?
1823.821482,174.509999,-35.820988,-0.000356,1_hr,?
8915.38282,174.625903,-38.922361,-0.000343,1_hr,?
5442.775039,174.581749,-38.884758,-0.000343,1_hr,?
1793.448185,177.119788,-38.344263,-0.000343,1_hr,?
732.428721,-176.572908,-43.761778,-0.000303,1_hr,?
24559.71717,173.776912,-41.168818,-0.000316,1_hr,?
1640.837209,168.173979,-46.971251,-0.000303,1_hr,?
276.577581,173.830112,-42.244223,-0.000303,1_hr,?
4208.456849,175.392303,-38.992728,-0.000343,1_hr,?
137.869322,176.346294,-38.175303,-0.000343,1_hr,?
22819.93446,173.297923,-41.546497,-0.000316,1_hr,?
4960.77004,177.14835,-38.791853,-0.000343,1_hr,?
719.681471,173.627554,-35.239921,-0.000356,1_hr,?
1696.989448,175.163979,-38.524621,-0.000343,1_hr,?
1873.107038,170.250498,-45.844638,-0.000303,1_hr,?
587.950289,168.66641,-44.983279,-0.000303,1_hr,?
975.848555,171.327566,-42.115168,-0.000303,1_hr,?
17562.7012,172.783555,-34.453403,-0.000356,1_hr,?
2174.668886,173.773222,-41.049752,-0.000303,1_hr,?
5227.425548,171.227776,-42.38512,-0.000316,1_hr,?
1446.18146,173.791274,-35.211012,-0.000356,1_hr,?
5355.20372,172.729844,-40.854566,-0.000303,1_hr,?
516.548047,169.561412,-46.51767,-0.000303,1_hr,?
25306.53165,168.061376,-46.873639,-0.000303,1_hr,?
2629.400057,176.014874,-38.736196,-0.000343,1_hr,?
4102.527376,176.045401,-39.754815,-0.000343,1_hr,?
465.34858,173.084357,-34.72311,-0.000356,1_hr,?
1693.526664,174.043296,-39.103996,-0.000343,1_hr,?
