@relation Challenge-AB-Data12-Test-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2

@attribute Shape__Length numeric
@attribute Y numeric
@attribute completionTime numeric

@data
5594.724404,-39.287822,270
4044.750326,-44.428023,420
2659.286116,-44.799972,200
4651.883408,-45.019637,600
3619.967098,-44.830172,660
12791.54386,-40.624988,840
12803.32642,-40.551229,780
11579.62589,-45.835736,630
57544.15386,-46.242701,6180
4310.939605,-44.701088,1080
8911.418456,-37.499009,480
15759.75604,-41.523287,480
10399.49809,-40.90177,78
905.259396,-45.326534,85
20384.36035,-44.35532,2160
13444.58245,-37.056499,2160
26806.8167,-37.95829,2160
13385.00574,-37.98135,2160
24941.00978,-39.150284,2160
15478.15126,-44.493628,2160
4387.660379,-44.843248,2160
3222.047277,-36.505694,2160
10808.62116,-45.016815,2160
2710.364696,-40.879059,2160
3027.133188,-39.481932,60
813.033133,-43.19644,60
1699.139854,-42.40843,60
19048.16548,-44.495988,60
2570.670601,-40.904241,60
1637.199197,-43.415841,60
2462.407093,-43.198676,60
1093.080581,-35.220341,60
1479.670194,-46.503775,60
1331.310221,-37.427025,60
1520.406158,-38.801546,60
3348.688945,-35.032715,60
1800.777645,-35.656772,60
1660.45584,-39.809901,60
2415.457998,-38.534205,60
1313.942264,-41.345646,60
2906.446714,-38.127547,60
1793.448185,-38.344263,60
732.428721,-43.761778,60
1640.837209,-46.971251,60
1696.989448,-38.524621,60
4212.215412,-41.128311,60
1112.902843,-45.757727,60
1334.950782,-35.289015,60
1446.18146,-35.211012,60
1590.882815,-40.881495,60
1539.580717,-38.565411,60
2024.435791,-40.124957,60
6581.277382,-38.651955,60
3456.269258,-35.861832,60
2165.982885,-38.669068,60
2444.081838,-45.319567,60
811.209813,-45.920678,60
1314.581559,-35.611549,60
1310.65534,-38.883153,60
3351.968953,-35.253694,60
1662.312478,-36.243291,60
685.077638,-42.434374,60
1207.195197,-37.967949,60
3421.535853,-39.020721,80
1529.82184,-43.384607,90
5024.440889,-37.968716,90
4496.859226,-37.753143,75
3200.259742,-41.765011,75
2829.035645,-37.892557,75
3493.115493,-38.260969,75
2485.150805,-43.393405,80
3714.458289,-43.716335,80
4557.861652,-40.634096,80
1830.543523,-43.387143,80
1864.986843,-39.330399,80
8729.446131,-39.316817,80
1706.756362,-40.838768,80
2068.743095,-35.613681,80
2617.337136,-39.274162,90
3420.027343,-45.077094,90
5556.543874,-38.187429,90
3509.844119,-44.120615,90
3219.655421,-45.894094,90
1967.638846,-41.343213,90
2575.691201,-43.43359,90
1401.474524,-45.603043,90
3001.665476,-38.03409,90
4178.762301,-35.216866,90
1195.007303,-45.059869,90
3579.641885,-43.446986,90
1779.514697,-43.407653,90
742.12362,-45.755952,90
2553.998415,-35.787241,90
4399.689845,-44.692078,90
2690.014668,-43.983654,90
2629.400057,-38.736196,90
4891.665276,-35.854647,90
2104.215157,-38.697811,90
941.320741,-38.072686,90
10256.44346,-39.166611,90
3527.871843,-38.188637,90
10677.84687,-44.676738,105
432.157044,-39.964954,105
4850.994031,-35.43504,105
