@relation Challenge-AB-Data12-Test-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2

@attribute Shape__Length numeric
@attribute completionTime numeric

@data
5594.724404,270
4044.750326,420
2659.286116,200
4651.883408,600
3619.967098,660
12791.54386,840
12803.32642,780
11579.62589,630
57544.15386,6180
4310.939605,1080
8911.418456,480
15759.75604,480
10399.49809,78
905.259396,85
20384.36035,2160
13444.58245,2160
26806.8167,2160
13385.00574,2160
24941.00978,2160
15478.15126,2160
4387.660379,2160
3222.047277,2160
10808.62116,2160
2710.364696,2160
3027.133188,60
813.033133,60
1699.139854,60
19048.16548,60
2570.670601,60
1637.199197,60
2462.407093,60
1093.080581,60
1479.670194,60
1331.310221,60
1520.406158,60
3348.688945,60
1800.777645,60
1660.45584,60
2415.457998,60
1313.942264,60
2906.446714,60
1793.448185,60
732.428721,60
1640.837209,60
1696.989448,60
4212.215412,60
1112.902843,60
1334.950782,60
1446.18146,60
1590.882815,60
1539.580717,60
2024.435791,60
6581.277382,60
3456.269258,60
2165.982885,60
2444.081838,60
811.209813,60
1314.581559,60
1310.65534,60
3351.968953,60
1662.312478,60
685.077638,60
1207.195197,60
3421.535853,80
1529.82184,90
5024.440889,90
4496.859226,75
3200.259742,75
2829.035645,75
3493.115493,75
2485.150805,80
3714.458289,80
4557.861652,80
1830.543523,80
1864.986843,80
8729.446131,80
1706.756362,80
2068.743095,80
2617.337136,90
3420.027343,90
5556.543874,90
3509.844119,90
3219.655421,90
1967.638846,90
2575.691201,90
1401.474524,90
3001.665476,90
4178.762301,90
1195.007303,90
3579.641885,90
1779.514697,90
742.12362,90
2553.998415,90
4399.689845,90
2690.014668,90
2629.400057,90
4891.665276,90
2104.215157,90
941.320741,90
10256.44346,90
3527.871843,90
10677.84687,105
432.157044,105
4850.994031,105
2351.410813,105
3408.967142,105
10550.88909,105
4084.883551,105
3764.403177,105
4520.67917,105
2784.630441,105
3786.092783,105
3499.480565,105
3105.242282,105
2529.837539,105
2453.599699,105
1887.201153,105
1929.69533,105
1456.714926,105
3107.470063,105
1499.878123,105
2847.839102,105
573.315182,105
4331.692699,105
1747.25978,105
4014.430804,105
8080.601307,105
5309.244224,105
4991.564867,100
3569.134806,105
3432.070434,105
5227.425548,105
6113.189223,105
587.172263,65
3808.872839,110
2306.367613,60
4399.801591,60
1243.332956,60
2102.553963,60
2717.697436,60
2527.673089,60
7121.889574,60
2925.594244,60
2688.623341,60
1841.243254,60
753.804929,60
329.691574,60
1466.475232,60
663.448476,60
1415.750173,60
1409.032307,60
970.70192,60
4257.113084,90
8349.120626,60
22504.97753,2160
22265.33349,2160
8541.816468,2160
4937.509983,2160
2679.396934,90
1524.476394,90
4724.552232,120
8815.516167,2160
14190.83666,2160
847.945008,105
1653.258903,90
1591.144955,90
4406.891394,90
2606.857454,90
1742.938067,90
20736.32701,660
228.156586,15
11355.99745,600
15823.86251,600
15138.02442,600
14098.2837,600
384.148629,10
4344.599678,65
379.285702,10
586.56089,10
594.717484,10
599.219641,10
59.100195,10
208.282912,10
225.475259,10
143.563654,10
183.425736,10
276.577581,10
116.099977,10
