id,Class
401,0
402,1
403,2
404,0
405,1
406,1
407,0
408,1
409,0
410,0
411,0
412,2
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,2
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,2
433,0
434,1
435,2
436,1
437,0
438,1
439,0
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,0
450,0
451,1
452,2
453,1
454,1
455,0
456,0
457,1
458,2
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,2
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,1
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,1
522,1
523,0
