@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.Remove-R1_predicted

@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
Easy,5253.591486,176.183022,-39.792327,-0.238181,1,?
Advanced,7410.269228,169.852902,-44.658424,-0.860939,1,?
Intermediate,46597.11962,177.025401,-38.752476,-0.99726,2,?
Easiest,227.28721,170.168012,-43.424834,0.933722,0,?
Advanced,18033.94445,174.682152,-38.975784,-0.836383,1,?
Expert,10301.39398,167.965692,-44.936069,-0.84168,1,?
Easy,2688.623341,169.872539,-44.369277,0.32229,0,?
Advanced,24941.00978,175.892831,-39.150284,-0.587268,2,?
Easiest,3177.238835,176.902393,-39.858388,0.75513,0,?
Easy,616.800351,177.385703,-38.118776,0.615351,0,?
Easy,1314.581559,174.540706,-35.611549,0.630783,0,?
Intermediate,3105.242282,174.989888,-41.333022,-0.576379,1,?
Advanced,2659.286116,168.092493,-44.799972,-0.358645,1,?
Advanced,10578.06316,169.386173,-44.137355,-0.930814,1,?
Easiest,739.866102,174.784222,-38.922318,0.918326,0,?
Easy,1864.986843,175.503155,-39.330399,0.449156,0,?
Easy,573.315182,170.638781,-45.893582,0.600759,0,?
Expert,41029.96064,171.860764,-42.894248,-0.994534,2,?
Easy,741.214239,167.713095,-45.430106,0.644898,0,?
Easiest,2527.673089,174.812052,-36.827561,0.855849,0,?
Easy,14357.25272,175.814981,-39.008664,-0.942304,1,?
Intermediate,2078.316122,168.676771,-44.834635,-0.378874,1,?
Easy,2453.599699,176.01538,-39.956022,0.316434,0,?
Easy,2658.043846,171.229226,-43.896482,0.302875,0,?
Advanced,18119.66698,176.099043,-39.700159,-0.673122,1,?
Easiest,169.623794,177.518096,-38.830248,0.923463,0,?
Easy,9903.076215,174.931658,-40.851143,-0.817382,1,?
Advanced,20736.32701,169.43331,-44.341489,-0.751611,1,?
Easiest,448.418346,170.01791,-43.468848,0.928143,0,?
Advanced,42031.77798,171.272982,-42.858702,-0.967907,2,?
Easiest,1986.44383,176.703164,-38.639828,0.854437,0,?
Intermediate,60211.4503,167.574976,-45.451472,-0.999403,2,?
Easy,4496.859226,176.382748,-37.753143,-0.031829,1,?
Advanced,7281.561448,174.126152,-35.882995,-0.839239,1,?
Intermediate,64698.66557,173.01755,-40.865111,-0.999843,2,?
Advanced,9187.601994,172.040289,-43.192033,-0.893981,1,?
Easy,3646.434771,169.473292,-46.564246,0.08229,0,?
'Easy,Advanced',6293.218419,170.149384,-45.875232,1,0,?
'Advanced,Expert',28489.1932,170.733498,-43.220237,-0.935328,2,?
Easy,15920.06939,175.865006,-38.638305,-0.950767,1,?
Advanced,9743.614004,175.857941,-37.537496,-0.921558,1,?
Easy,207.061535,170.61639,-45.73544,0.649743,0,?
