id,Class
401,1
402,1
403,2
404,0
405,1
406,1
407,0
408,2
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,0
417,0
418,2
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,2
431,0
432,2
433,1
434,1
435,2
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,2
448,2
449,0
450,0
451,1
452,1
453,1
454,2
455,0
456,0
457,1
458,1
459,0
460,1
461,0
462,0
463,1
464,0
465,2
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,0
475,1
476,0
477,0
478,2
479,2
480,0
481,1
482,0
483,2
484,1
485,1
486,0
487,1
488,2
489,2
490,1
491,0
492,2
493,2
494,1
495,0
496,0
497,1
498,1
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,0
