@relation 'CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.Remove-R1,4-5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-Lfirst-last-V-M_predicted'

@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
?,5253.591486,-0.149425,1,?
?,7410.269228,-0.534362,1,?
?,46597.11962,-0.787892,2,?
?,227.28721,0.711735,0,?
?,18033.94445,-0.975826,1,?
?,10301.39398,-0.829563,1,?
?,2688.623341,0.363291,0,?
?,24941.00978,-0.94009,1,?
?,3177.238835,0.272388,0,?
?,616.800351,0.669576,0,?
?,1314.581559,0.581933,0,?
?,3105.242282,0.28614,0,?
?,2659.286116,0.368556,0,?
?,10578.06316,-0.846071,1,?
?,739.866102,0.655267,0,?
?,1864.986843,0.501516,0,?
?,573.315182,0.674518,0,?
?,41029.96064,-0.565963,2,?
?,741.214239,0.655107,0,?
?,2527.673089,0.391881,0,?
?,14357.25272,-0.958404,1,?
?,2078.316122,0.467703,0,?
?,2453.599699,0.404793,0,?
?,2658.043846,0.368778,0,?
?,18119.66698,-0.975808,1,?
?,169.623794,0.717581,0,?
?,9903.076215,-0.802799,1,?
?,20736.32701,-0.96978,1,?
?,448.418346,0.688379,0,?
?,42031.77798,-0.611539,2,?
?,1986.44383,0.482443,0,?
?,60211.4503,-0.979614,2,?
?,4496.859226,0.00611,0,?
?,7281.561448,-0.515132,1,?
?,64698.66557,-0.99113,2,?
?,9187.601994,-0.744751,1,?
?,3646.434771,0.180252,0,?
?,6293.218419,-0.350137,1,?
?,28489.1932,-0.890119,1,?
?,15920.06939,-0.971188,1,?
?,9743.614004,-0.791019,1,?
?,207.061535,0.713797,0,?
?,29930.0888,-0.860745,1,?
?,12069.2054,-0.910989,1,?
?,879.934023,0.638388,0,?
?,15683.91079,-0.9699,1,?
?,41613.64225,-0.592704,2,?
?,70946.0483,-0.997243,2,?
?,1465.692306,0.560847,0,?
?,1637.199197,0.536002,0,?
?,8198.174005,-0.640144,1,?
?,11140.05051,-0.874908,1,?
?,1691.394418,0.527951,0,?
?,119965.7442,-1,2,?
?,15759.75604,-0.970335,1,?
?,125.59567,0.721978,0,?
?,5020.465194,-0.101943,1,?
?,9613.075863,-0.780897,1,?
?,320.913806,0.702029,0,?
?,8529.46922,-0.678553,1,?
?,1207.195197,0.596459,0,?
?,139.071821,0.720638,0,?
?,5244.575845,-0.1476,1,?
?,813.033133,0.646529,0,?
?,33217.85311,-0.769157,1,?
?,13088.74151,-0.937858,1,?
?,7228.876914,-0.507105,1,?
?,6431.935,-0.375035,1,?
?,2781.15302,0.346536,0,?
?,6236.236658,-0.339759,1,?
?,13650.04875,-0.948397,1,?
?,6285.486002,-0.348734,1,?
?,43559.08022,-0.677211,2,?
?,1583.815385,0.543839,0,?
?,6037.848708,-0.302984,1,?
?,1799.642283,0.511582,0,?
?,3105.662733,0.28606,0,?
?,45479.92851,-0.750669,2,?
?,50620.79428,-0.887842,2,?
?,753.804929,0.653615,0,?
?,1653.258903,0.533627,0,?
?,1807.070041,0.510444,0,?
?,44224.98397,-0.703954,2,?
?,10601.79703,-0.847412,1,?
?,3033.862384,0.299659,0,?
?,2358.053015,0.421212,0,?
?,3084.982809,0.289989,0,?
?,31289.93639,-0.827209,1,?
?,29961.84823,-0.860028,1,?
?,2161.883617,0.454066,0,?
?,579.074349,0.673867,0,?
?,84545.6959,-0.999786,2,?
?,26891.52866,-0.916144,1,?
?,11147.90657,-0.87527,1,?
?,1030.501749,0.619533,0,?
?,1283.266501,0.586208,0,?
?,905.259396,0.635268,0,?
?,7570.157857,-0.55749,1,?
?,10064.11416,-0.814065,1,?
?,2505.452773,0.39577,0,?
?,11381.3241,-0.885551,1,?
?,9080.546386,-0.73486,1,?
?,2906.446714,0.323492,0,?
?,663.448476,0.664209,0,?
?,2612.022193,0.376988,0,?
?,3509.844119,0.207482,0,?
?,650.364047,0.665722,0,?
?,5594.724404,-0.217608,1,?
?,5926.838445,-0.281992,1,?
?,7347.547056,-0.525059,1,?
?,1408.041126,0.568981,0,?
?,2462.407093,0.403266,0,?
?,4562.345007,-0.00745,1,?
?,851.956243,0.64181,0,?
?,462.922717,0.686794,0,?
?,310.083959,0.703165,0,?
?,1401.474524,0.5699,0,?
?,3631.210857,0.183302,0,?
?,4595.580285,-0.014331,1,?
?,740.686476,0.65517,0,?
?,22946.86094,-0.957406,1,?
?,10455.38192,-0.838951,1,?
?,1100.646989,0.610496,0,?
