@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R6_predicted

@attribute Id numeric
@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
401,Easy,5253.591486,176.183022,-39.792327,-0.061616,1,?
402,Advanced,7410.269228,169.852902,-44.658424,-0.996971,1,?
403,Intermediate,46597.11962,177.025401,-38.752476,-0.993089,2,?
404,Easiest,227.28721,170.168012,-43.424834,0.975688,0,?
405,Advanced,18033.94445,174.682152,-38.975784,-0.732143,1,?
406,Expert,10301.39398,167.965692,-44.936069,-0.995744,1,?
407,Easy,2688.623341,169.872539,-44.369277,0.170358,0,?
408,Advanced,24941.00978,175.892831,-39.150284,-0.671825,1,?
409,Easiest,3177.238835,176.902393,-39.858388,0.934846,0,?
410,Easy,616.800351,177.385703,-38.118776,0.596571,0,?
411,Easy,1314.581559,174.540706,-35.611549,0.895475,0,?
412,Intermediate,3105.242282,174.989888,-41.333022,-0.981972,1,?
413,Advanced,2659.286116,168.092493,-44.799972,-0.998347,1,?
414,Advanced,10578.06316,169.386173,-44.137355,-0.988954,1,?
415,Easiest,739.866102,174.784222,-38.922318,0.899446,0,?
416,Easy,1864.986843,175.503155,-39.330399,0.397785,0,?
417,Easy,573.315182,170.638781,-45.893582,0.737835,0,?
418,Expert,41029.96064,171.860764,-42.894248,-0.885144,2,?
419,Easy,741.214239,167.713095,-45.430106,0.726976,0,?
420,Easiest,2527.673089,174.812052,-36.827561,0.968117,0,?
421,Easy,14357.25272,175.814981,-39.008664,-0.410983,1,?
422,Intermediate,2078.316122,168.676771,-44.834635,-0.997607,1,?
423,Easy,2453.599699,176.01538,-39.956022,0.262042,0,?
424,Easy,2658.043846,171.229226,-43.896482,-0.167565,1,?
425,Advanced,18119.66698,176.099043,-39.700159,-0.769969,1,?
426,Easiest,169.623794,177.518096,-38.830248,0.887766,0,?
427,Easy,9903.076215,174.931658,-40.851143,-0.481843,1,?
428,Advanced,20736.32701,169.43331,-44.341489,-0.986773,1,?
429,Easiest,448.418346,170.01791,-43.468848,0.961901,0,?
430,Advanced,42031.77798,171.272982,-42.858702,-0.975728,2,?
431,Easiest,1986.44383,176.703164,-38.639828,0.904218,0,?
432,Intermediate,60211.4503,167.574976,-45.451472,-0.934108,2,?
433,Easy,4496.859226,176.382748,-37.753143,0.250078,0,?
434,Advanced,7281.561448,174.126152,-35.882995,-0.387007,1,?
435,Intermediate,64698.66557,173.01755,-40.865111,-0.994696,2,?
436,Advanced,9187.601994,172.040289,-43.192033,-0.964429,1,?
437,Easy,3646.434771,169.473292,-46.564246,0.177077,0,?
438,'Easy,Advanced',6293.218419,170.149384,-45.875232,0.530752,0,?
439,'Advanced,Expert',28489.1932,170.733498,-43.220237,-0.564129,1,?
440,Easy,15920.06939,175.865006,-38.638305,-0.39058,1,?
441,Advanced,9743.614004,175.857941,-37.537496,-0.676058,1,?
442,Easy,207.061535,170.61639,-45.73544,0.691465,0,?
443,'Advanced,Expert',29930.0888,169.939487,-43.623806,-0.569406,1,?
444,Advanced,12069.2054,170.471237,-43.991443,-0.981942,1,?
445,Easiest,879.934023,175.816657,-40.339706,0.940102,0,?
446,Advanced,15683.91079,174.963064,-41.323389,-0.903131,1,?
447,Advanced,41613.64225,172.934918,-40.912858,-0.960428,2,?
