@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R4_predicted

@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
5253.591486,176.183022,-39.792327,-0.266251,1,?
7410.269228,169.852902,-44.658424,-0.647645,1,?
46597.11962,177.025401,-38.752476,-0.977948,2,?
227.28721,170.168012,-43.424834,0.616258,0,?
18033.94445,174.682152,-38.975784,-0.827211,1,?
10301.39398,167.965692,-44.936069,-0.845653,1,?
2688.623341,169.872539,-44.369277,0.170427,0,?
24941.00978,175.892831,-39.150284,-0.500838,2,?
3177.238835,176.902393,-39.858388,0.133985,0,?
616.800351,177.385703,-38.118776,0.623157,0,?
1314.581559,174.540706,-35.611549,0.623022,0,?
3105.242282,174.989888,-41.333022,0.122086,0,?
2659.286116,168.092493,-44.799972,0.187542,0,?
10578.06316,169.386173,-44.137355,-0.844493,1,?
739.866102,174.784222,-38.922318,0.61407,0,?
1864.986843,175.503155,-39.330399,0.423418,0,?
573.315182,170.638781,-45.893582,0.492149,0,?
41029.96064,171.860764,-42.894248,-0.93477,2,?
741.214239,167.713095,-45.430106,0.516596,0,?
2527.673089,174.812052,-36.827561,0.40018,0,?
14357.25272,175.814981,-39.008664,-0.838144,1,?
2078.316122,168.676771,-44.834635,0.29148,0,?
2453.599699,176.01538,-39.956022,0.287144,0,?
2658.043846,171.229226,-43.896482,0.17341,0,?
18119.66698,176.099043,-39.700159,-0.69667,1,?
169.623794,177.518096,-38.830248,0.659912,0,?
9903.076215,174.931658,-40.851143,-0.773587,1,?
20736.32701,169.43331,-44.341489,-0.720646,1,?
448.418346,170.01791,-43.468848,0.587184,0,?
42031.77798,171.272982,-42.858702,-0.931968,2,?
1986.44383,176.703164,-38.639828,0.408781,0,?
60211.4503,167.574976,-45.451472,-0.995086,2,?
4496.859226,176.382748,-37.753143,-0.04733,1,?
7281.561448,174.126152,-35.882995,-0.476293,1,?
64698.66557,173.01755,-40.865111,-0.997962,2,?
9187.601994,172.040289,-43.192033,-0.762274,1,?
3646.434771,169.473292,-46.564246,-0.102791,1,?
6293.218419,170.149384,-45.875232,-0.533984,1,?
28489.1932,170.733498,-43.220237,-0.585611,2,?
15920.06939,175.865006,-38.638305,-0.83084,1,?
9743.614004,175.857941,-37.537496,-0.778793,1,?
207.061535,170.61639,-45.73544,0.552778,0,?
29930.0888,169.939487,-43.623806,-0.613997,2,?
12069.2054,170.471237,-43.991443,-0.849452,1,?
879.934023,175.816657,-40.339706,0.54534,0,?
15683.91079,174.963064,-41.323389,-0.729165,1,?
41613.64225,172.934918,-40.912858,-0.916408,2,?
70946.0483,171.999315,-42.700458,-0.999473,2,?
1465.692306,176.816969,-39.919087,0.45347,0,?
1637.199197,170.178554,-43.415841,0.400426,0,?
8198.174005,172.557407,-40.640089,-0.683109,1,?
11140.05051,168.145,-44.80218,-0.868213,1,?
1691.394418,167.146088,-45.469043,0.363261,0,?
119965.7442,167.910611,-46.867313,-1,2,?
15759.75604,172.563669,-41.523287,-0.841311,1,?
125.59567,173.527402,-35.600637,0.759621,0,?
5020.465194,175.859234,-37.517284,-0.137622,1,?
9613.075863,167.683892,-45.46797,-0.817926,1,?
320.913806,174.128407,-35.893382,0.732182,0,?
8529.46922,172.660372,-41.128209,-0.717117,1,?
1207.195197,175.148006,-37.967949,0.571416,0,?
139.071821,174.39006,-36.06467,0.744544,0,?
5244.575845,174.425522,-35.452395,-0.083446,1,?
813.033133,171.74313,-43.19644,0.522205,0,?
33217.85311,169.253212,-43.823288,-0.699969,2,?
13088.74151,176.026215,-39.899844,-0.803214,1,?
7228.876914,169.477881,-44.912381,-0.631754,1,?
6431.935,168.527468,-45.073321,-0.533751,1,?
2781.15302,176.040985,-39.841008,0.227522,0,?
6236.236658,177.395565,-38.149268,-0.401255,1,?
13650.04875,175.381562,-36.20442,-0.914684,1,?
6285.486002,175.257033,-41.065776,-0.46231,1,?
43559.08022,171.136274,-42.984627,-0.946254,2,?
1583.815385,175.524361,-39.964676,0.450036,0,?
6037.848708,171.438802,-42.263274,-0.427986,1,?
1799.642283,175.133215,-37.663555,0.491439,0,?
3105.662733,175.754709,-38.908394,0.202974,0,?
45479.92851,175.624558,-39.145811,-0.963868,2,?
50620.79428,172.678597,-40.92487,-0.977939,2,?
753.804929,169.276287,-44.164198,0.532682,0,?
1653.258903,173.412972,-34.821654,0.609351,0,?
1807.070041,174.090957,-35.168355,0.572599,0,?
44224.98397,177.150494,-38.709237,-0.968591,2,?
10601.79703,172.330205,-43.160646,-0.804586,1,?
3033.862384,173.813677,-35.750773,0.359386,0,?
2358.053015,174.133563,-35.887947,0.467703,0,?
3084.982809,168.331068,-44.824082,0.096125,0,?
31289.93639,171.436891,-42.887466,-0.714923,2,?
29961.84823,168.241175,-45.023962,-0.601642,2,?
2161.883617,175.877947,-40.18708,0.335649,0,?
579.074349,175.763331,-38.967902,0.623737,0,?
84545.6959,172.806165,-41.916447,-0.999943,2,?
26891.52866,173.121352,-41.941561,-0.602393,2,?
11147.90657,175.908494,-37.760512,-0.841951,1,?
1030.501749,175.077463,-38.265829,0.588862,0,?
1283.266501,168.082844,-44.893674,0.441092,0,?
905.259396,168.710589,-45.326534,0.481651,0,?
7570.157857,170.158842,-43.41486,-0.650428,1,?
10064.11416,168.421033,-44.851525,-0.832853,1,?
2505.452773,176.672925,-38.681779,0.313759,0,?
11381.3241,176.908391,-39.222008,-0.795532,1,?
9080.546386,176.038866,-39.839548,-0.728891,1,?
2906.446714,176.18702,-38.127547,0.264735,0,?
663.448476,171.560953,-42.935233,0.554052,0,?
2612.022193,172.880417,-40.944221,0.268011,0,?
3509.844119,169.344465,-44.120615,0.019699,0,?
650.364047,170.187392,-46.054188,0.480861,0,?
5594.724404,174.083282,-39.287822,-0.288437,1,?
5926.838445,175.852296,-37.606744,-0.31625,1,?
7347.547056,174.798374,-37.868981,-0.5439,1,?
1408.041126,174.803131,-36.270877,0.591673,0,?
2462.407093,172.250399,-43.198676,0.222927,0,?
4562.345007,174.13607,-35.882505,0.046423,0,?
851.956243,173.963922,-35.218832,0.69177,0,?
462.922717,175.792578,-38.816131,0.641683,0,?
310.083959,174.166833,-35.231833,0.74475,0,?
1401.474524,170.675745,-45.603043,0.360371,0,?
3631.210857,176.877064,-39.301553,0.063533,0,?
4595.580285,174.285901,-35.763588,0.04179,0,?
740.686476,176.330113,-38.182863,0.616487,0,?
22946.86094,173.634932,-35.571016,-0.914702,1,?
10455.38192,172.616308,-41.158644,-0.82814,1,?
1100.646989,167.492798,-45.543042,0.458645,0,?
