@relation 'CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.Remove-R1,4-5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-Lfirst-last-V-M'

@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute Class {0,1,2}

@data
Easy,6067.516674,0
Easy,1190.301175,0
Easiest,516.548047,0
Advanced,11422.56164,1
Advanced,3330.867075,1
Easiest,718.069786,0
Advanced,4557.861652,0
Advanced,2992.429545,1
Advanced,3284.209167,1
'Easiest,Easy',975.848555,0
Easiest,5921.0808,0
Intermediate,71926.56678,2
'Advanced,Expert',11579.62589,1
Advanced,32189.20895,2
Advanced,125082.131,2
Advanced,18593.83517,1
Easy,329.691574,0
Advanced,1195.007303,1
Advanced,35089.00364,2
Easy,1706.756362,1
Easy,1590.882815,0
Easiest,565.430542,0
Advanced,2946.382344,1
Easy,17562.7012,1
Advanced,4047.873045,1
Intermediate,4833.243419,1
Advanced,4694.175046,1
Easy,719.681471,0
Easy,3965.725559,1
Expert,16096.67815,1
Easy,9261.72863,1
Easiest,2024.435791,0
Easy,338.651466,0
Easiest,421.040669,0
Expert,7933.766109,1
Advanced,4627.250988,1
Intermediate,45641.02679,2
Expert,4832.004755,1
Easy,18192.86097,1
Advanced,10856.86009,1
Advanced,7506.947907,1
Easiest,445.51052,0
Intermediate,21310.19161,2
Easy,4521.378161,1
'Easiest,Easy',3200.259742,0
Advanced,9481.501485,1
Easy,4373.612159,0
Easy,6589.686604,1
Advanced,8617.298125,1
Advanced,15365.14878,2
Easy,3421.535853,0
'Advanced,Expert',10389.30038,1
Easy,344.817084,1
Easy,10808.62116,1
Easy,2570.670601,0
Easy,47147.35256,2
'Advanced,Expert',13992.94903,2
Advanced,30498.60967,2
Easy,4142.722385,1
Advanced,16454.82476,1
Easy,2355.609303,1
Easy,2174.668886,0
Easy,5812.7438,1
Easiest,246.126518,0
Easiest,751.362302,0
Easiest,798.280113,0
Easy,2028.361376,0
Advanced,4720.027796,1
Easy,3632.311888,1
Advanced,12092.28809,1
Easy,2925.594244,0
Easy,3348.688945,0
Easy,1841.243254,0
Advanced,45555.45858,2
Easiest,285.833325,0
Easiest,1362.962096,0
Easy,2553.998415,0
'Advanced,Expert',45410.00684,2
Expert,17522.26612,2
Advanced,7607.803483,1
Easy,405.583912,0
Advanced,15933.36448,1
Easy,3455.563327,0
Expert,2102.553963,0
Easy,11591.71309,1
Advanced,48400.79337,1
Easiest,532.198482,0
Easy,2596.396968,1
Easiest,471.474277,0
Easy,643.27841,0
Advanced,7260.622087,1
Easy,417.154485,0
Easy,2132.356864,1
Easy,3438.489096,1
Easiest,1016.771432,0
'Advanced,Expert',1546.008173,1
Easy,3456.269258,0
Expert,8290.61593,1
Advanced,3070.054227,0
Advanced,7343.304934,1
Easiest,414.713412,0
Easy,2244.825728,0
Easy,6927.602538,1
Advanced,9720.53566,1
Easy,2717.697436,0
Advanced,34817.02606,2
Easy,2444.081838,0
Advanced,78581.5092,2
Easy,1735.127961,0
Advanced,17462.07339,2
Easy,2458.612226,1
Advanced,5799.115878,1
Advanced,2415.457998,0
Advanced,10853.43685,1
Easy,512.828967,0
Easiest,151.515708,0
Easy,5469.349914,0
Easy,3001.665476,0
'Intermediate,Advanced',15365.14878,1
Easy,1929.69533,0
Advanced,5998.892634,1
Easy,1742.938067,1
Expert,2306.367613,0
Advanced,16301.71772,1
Easiest,1816.320526,0
Easy,4897.245761,1
Easiest,253.340026,0
Advanced,40119.91518,2
Easy,8639.90388,1
Easiest,878.072282,0
Easiest,2068.743095,1
Advanced,4112.017564,1
Easy,10076.01077,1
Easiest,1331.310221,0
Easy,751.294505,0
Easiest,2082.121385,0
Advanced,1151.120832,1
Intermediate,11635.69132,1
Easy,348.833726,0
Advanced,12345.70847,1
Easiest,1093.34753,0
Easy,1243.332956,0
Easiest,4305.382387,0
'Easy,Advanced',8068.935535,0
Advanced,19733.6682,2
Easiest,1500.968132,0
'Intermediate,Advanced',27674.29598,2
Easiest,3597.770111,1
Easy,1334.950782,0
Expert,7337.96206,1
'Easiest,Easy',1669.669622,1
Advanced,22265.33349,1
Easy,5618.762537,1
Advanced,2456.580522,1
Advanced,385.910448,0
Expert,6119.335294,2
Easy,9112.758816,1
Easy,665.076063,0
Easy,1967.638846,1
Easiest,276.577581,0
Intermediate,8911.418456,1
Advanced,4395.838145,1
Easy,1887.201153,0
Advanced,8915.38282,1
Easiest,259.749932,0
Easy,100.49515,0
Intermediate,64475.79228,2
Easy,8630.909856,1
'Easy,Expert',23132.58858,0
Easy,291.435803,0
'Intermediate,Advanced,Expert',57544.15386,1
Easiest,685.077638,0
Easy,3482.189873,0
Easy,3493.115493,1
Advanced,64118.81657,2
Intermediate,65134.84337,2
Easiest,200.304806,0
Advanced,8349.120626,1
Advanced,12327.64082,1
Advanced,379.806838,0
Easy,1830.543523,0
Easy,7182.795558,1
Advanced,3219.655421,0
Advanced,5731.120804,1
Easy,6840.040329,1
Easy,1873.107038,1
Advanced,18841.85081,1
Intermediate,34292.53523,2
Intermediate,3195.585901,1
Easy,7094.916432,1
Easiest,941.320741,1
Easiest,710.599218,0
Expert,32787.71623,2
'Easiest,Advanced',5759.623173,0
Advanced,4102.527376,2
Easy,4520.67917,0
Advanced,32435.53602,2
Expert,11751.04192,1
Easy,1747.25978,1
Advanced,14064.61602,1
Easy,1310.65534,0
Advanced,14470.68136,1
'Easiest,Easy',11768.40212,0
Advanced,12803.32642,1
Expert,7858.156653,1
Intermediate,6461.33931,1
Easiest,589.537909,0
Easiest,970.70192,0
Intermediate,45641.02679,2
'Easiest,Advanced',4692.15523,0
Easiest,608.574408,0
Expert,8075.612675,1
'Advanced,Expert',57976.85323,2
Easy,8877.984689,1
Easiest,3332.445698,0
Easy,8800.802075,1
Easy,2249.252265,0
Easy,2849.757728,1
Easy,7011.897881,0
Easiest,347.853214,0
Easy,811.209813,0
Advanced,2558.600217,1
Advanced,5785.583899,1
Intermediate,25306.53165,2
Advanced,4330.657313,1
Easiest,70.688113,0
Easy,1216.877778,0
Easy,3351.968953,0
Advanced,41684.30391,2
Advanced,4895.490784,1
Easy,2294.349824,1
Easiest,2476.067212,0
'Easiest,Expert',4490.586857,1
Advanced,20543.11825,2
Easy,7792.587138,0
Easiest,372.077664,0
Easy,4399.689845,0
Advanced,3647.234821,1
Easy,7240.026853,1
Easy,2629.400057,0
Expert,11802.6525,2
Easy,2104.215157,0
Easy,2485.150805,0
Advanced,3075.526539,1
Easy,8425.969103,1
Advanced,56862.51275,2
Easy,574.409899,0
'Advanced,Expert',31680.65758,2
Easy,2252.231112,1
Easy,2690.014668,0
Advanced,10723.18039,1
Advanced,2338.225179,1
Easy,5060.519948,0
Advanced,7458.636545,1
Advanced,65134.84337,2
Expert,7977.655449,1
Advanced,15536.58578,1
Intermediate,592.948933,0
Easiest,432.157044,0
Advanced,85782.09269,2
Easiest,859.172062,0
Easiest,609.422979,0
Easiest,89.895016,0
Expert,3425.299664,1
Easy,11352.3479,1
Easy,955.570483,0
Easy,552.552702,0
Easy,3217.853171,1
Advanced,15962.11912,1
Easiest,265.195776,0
Easy,2280.081638,0
Easy,3420.027343,0
Easy,6626.440976,1
Expert,74534.37081,2
Advanced,1131.947017,0
Advanced,2443.805508,1
'Advanced,Expert',4206.429489,1
Expert,4310.939605,1
Expert,29384.06784,2
Advanced,2829.035645,0
Expert,16597.71381,1
Easy,892.519195,0
Easy,622.142677,0
Easiest,1183.018317,0
Advanced,62923.73138,2
Easy,3107.470063,0
Easiest,225.475259,0
Advanced,18213.47197,1
Easiest,1162.419368,0
Advanced,8787.832964,1
Easy,4191.582229,1
Easy,3027.133188,0
Easy,1524.476394,1
Advanced,4525.194931,1
Advanced,62747.805,2
Advanced,21858.26064,2
Easy,7946.474761,1
Advanced,15279.22086,1
Advanced,70247.81711,2
Easy,1532.179283,0
Advanced,15962.11912,0
Expert,45151.34487,2
Easy,587.950289,0
