@relation CoreDataSet-Test-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.Remove-R1

@attribute difficulty {Easy,Advanced,Intermediate,Easiest,Expert,'Easy,Advanced','Advanced,Expert','Intermediate,Advanced','Easiest,Easy'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {'?'}

@data
Easy,5253.591486,176.183022,-39.792327,?
Advanced,7410.269228,169.852902,-44.658424,?
Intermediate,46597.11962,177.025401,-38.752476,?
Easiest,227.28721,170.168012,-43.424834,?
Advanced,18033.94445,174.682152,-38.975784,?
Expert,10301.39398,167.965692,-44.936069,?
Easy,2688.623341,169.872539,-44.369277,?
Advanced,24941.00978,175.892831,-39.150284,?
Easiest,3177.238835,176.902393,-39.858388,?
Easy,616.800351,177.385703,-38.118776,?
Easy,1314.581559,174.540706,-35.611549,?
Intermediate,3105.242282,174.989888,-41.333022,?
Advanced,2659.286116,168.092493,-44.799972,?
Advanced,10578.06316,169.386173,-44.137355,?
Easiest,739.866102,174.784222,-38.922318,?
Easy,1864.986843,175.503155,-39.330399,?
Easy,573.315182,170.638781,-45.893582,?
Expert,41029.96064,171.860764,-42.894248,?
Easy,741.214239,167.713095,-45.430106,?
Easiest,2527.673089,174.812052,-36.827561,?
Easy,14357.25272,175.814981,-39.008664,?
Intermediate,2078.316122,168.676771,-44.834635,?
Easy,2453.599699,176.01538,-39.956022,?
Easy,2658.043846,171.229226,-43.896482,?
Advanced,18119.66698,176.099043,-39.700159,?
Easiest,169.623794,177.518096,-38.830248,?
Easy,9903.076215,174.931658,-40.851143,?
Advanced,20736.32701,169.43331,-44.341489,?
Easiest,448.418346,170.01791,-43.468848,?
Advanced,42031.77798,171.272982,-42.858702,?
Easiest,1986.44383,176.703164,-38.639828,?
Intermediate,60211.4503,167.574976,-45.451472,?
Easy,4496.859226,176.382748,-37.753143,?
Advanced,7281.561448,174.126152,-35.882995,?
Intermediate,64698.66557,173.01755,-40.865111,?
Advanced,9187.601994,172.040289,-43.192033,?
Easy,3646.434771,169.473292,-46.564246,?
'Easy,Advanced',6293.218419,170.149384,-45.875232,?
'Advanced,Expert',28489.1932,170.733498,-43.220237,?
Easy,15920.06939,175.865006,-38.638305,?
Advanced,9743.614004,175.857941,-37.537496,?
Easy,207.061535,170.61639,-45.73544,?
'Advanced,Expert',29930.0888,169.939487,-43.623806,?
Advanced,12069.2054,170.471237,-43.991443,?
Easiest,879.934023,175.816657,-40.339706,?
Advanced,15683.91079,174.963064,-41.323389,?
Advanced,41613.64225,172.934918,-40.912858,?
Advanced,70946.0483,171.999315,-42.700458,?
Easiest,1465.692306,176.816969,-39.919087,?
Easy,1637.199197,170.178554,-43.415841,?
Expert,8198.174005,172.557407,-40.640089,?
Intermediate,11140.05051,168.145,-44.80218,?
Advanced,1691.394418,167.146088,-45.469043,?
Advanced,119965.7442,167.910611,-46.867313,?
'Advanced,Expert',15759.75604,172.563669,-41.523287,?
Easiest,125.59567,173.527402,-35.600637,?
Advanced,5020.465194,175.859234,-37.517284,?
Intermediate,9613.075863,167.683892,-45.46797,?
Easy,320.913806,174.128407,-35.893382,?
Expert,8529.46922,172.660372,-41.128209,?
Easiest,1207.195197,175.148006,-37.967949,?
Easy,139.071821,174.39006,-36.06467,?
Easy,5244.575845,174.425522,-35.452395,?
Easiest,813.033133,171.74313,-43.19644,?
Advanced,33217.85311,169.253212,-43.823288,?
Advanced,13088.74151,176.026215,-39.899844,?
Advanced,7228.876914,169.477881,-44.912381,?
Easy,6431.935,168.527468,-45.073321,?
Advanced,2781.15302,176.040985,-39.841008,?
Advanced,6236.236658,177.395565,-38.149268,?
Advanced,13650.04875,175.381562,-36.20442,?
Advanced,6285.486002,175.257033,-41.065776,?
'Advanced,Expert',43559.08022,171.136274,-42.984627,?
Easy,1583.815385,175.524361,-39.964676,?
Easy,6037.848708,171.438802,-42.263274,?
Easy,1799.642283,175.133215,-37.663555,?
Easy,3105.662733,175.754709,-38.908394,?
Intermediate,45479.92851,175.624558,-39.145811,?
Advanced,50620.79428,172.678597,-40.92487,?
Easiest,753.804929,169.276287,-44.164198,?
Advanced,1653.258903,173.412972,-34.821654,?
Easy,1807.070041,174.090957,-35.168355,?
Advanced,44224.98397,177.150494,-38.709237,?
Expert,10601.79703,172.330205,-43.160646,?
Advanced,3033.862384,173.813677,-35.750773,?
Easy,2358.053015,174.133563,-35.887947,?
Advanced,3084.982809,168.331068,-44.824082,?
Expert,31289.93639,171.436891,-42.887466,?
Advanced,29961.84823,168.241175,-45.023962,?
Advanced,2161.883617,175.877947,-40.18708,?
Easiest,579.074349,175.763331,-38.967902,?
Advanced,84545.6959,172.806165,-41.916447,?
Expert,26891.52866,173.121352,-41.941561,?
Advanced,11147.90657,175.908494,-37.760512,?
Easiest,1030.501749,175.077463,-38.265829,?
Easiest,1283.266501,168.082844,-44.893674,?
Advanced,905.259396,168.710589,-45.326534,?
Advanced,7570.157857,170.158842,-43.41486,?
'Intermediate,Advanced',10064.11416,168.421033,-44.851525,?
Easy,2505.452773,176.672925,-38.681779,?
