@relation CoreDataSet-Test-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {?}

@data
5253.591486,176.183022,-39.792327,?
7410.269228,169.852902,-44.658424,?
46597.11962,177.025401,-38.752476,?
227.28721,170.168012,-43.424834,?
18033.94445,174.682152,-38.975784,?
10301.39398,167.965692,-44.936069,?
2688.623341,169.872539,-44.369277,?
24941.00978,175.892831,-39.150284,?
3177.238835,176.902393,-39.858388,?
616.800351,177.385703,-38.118776,?
1314.581559,174.540706,-35.611549,?
3105.242282,174.989888,-41.333022,?
2659.286116,168.092493,-44.799972,?
10578.06316,169.386173,-44.137355,?
739.866102,174.784222,-38.922318,?
1864.986843,175.503155,-39.330399,?
573.315182,170.638781,-45.893582,?
41029.96064,171.860764,-42.894248,?
741.214239,167.713095,-45.430106,?
2527.673089,174.812052,-36.827561,?
14357.25272,175.814981,-39.008664,?
2078.316122,168.676771,-44.834635,?
2453.599699,176.01538,-39.956022,?
2658.043846,171.229226,-43.896482,?
18119.66698,176.099043,-39.700159,?
169.623794,177.518096,-38.830248,?
9903.076215,174.931658,-40.851143,?
20736.32701,169.43331,-44.341489,?
448.418346,170.01791,-43.468848,?
42031.77798,171.272982,-42.858702,?
1986.44383,176.703164,-38.639828,?
60211.4503,167.574976,-45.451472,?
4496.859226,176.382748,-37.753143,?
7281.561448,174.126152,-35.882995,?
64698.66557,173.01755,-40.865111,?
9187.601994,172.040289,-43.192033,?
3646.434771,169.473292,-46.564246,?
6293.218419,170.149384,-45.875232,?
28489.1932,170.733498,-43.220237,?
15920.06939,175.865006,-38.638305,?
9743.614004,175.857941,-37.537496,?
207.061535,170.61639,-45.73544,?
29930.0888,169.939487,-43.623806,?
12069.2054,170.471237,-43.991443,?
879.934023,175.816657,-40.339706,?
15683.91079,174.963064,-41.323389,?
41613.64225,172.934918,-40.912858,?
70946.0483,171.999315,-42.700458,?
1465.692306,176.816969,-39.919087,?
1637.199197,170.178554,-43.415841,?
8198.174005,172.557407,-40.640089,?
11140.05051,168.145,-44.80218,?
1691.394418,167.146088,-45.469043,?
119965.7442,167.910611,-46.867313,?
15759.75604,172.563669,-41.523287,?
125.59567,173.527402,-35.600637,?
5020.465194,175.859234,-37.517284,?
9613.075863,167.683892,-45.46797,?
320.913806,174.128407,-35.893382,?
8529.46922,172.660372,-41.128209,?
1207.195197,175.148006,-37.967949,?
139.071821,174.39006,-36.06467,?
5244.575845,174.425522,-35.452395,?
813.033133,171.74313,-43.19644,?
33217.85311,169.253212,-43.823288,?
13088.74151,176.026215,-39.899844,?
7228.876914,169.477881,-44.912381,?
6431.935,168.527468,-45.073321,?
2781.15302,176.040985,-39.841008,?
6236.236658,177.395565,-38.149268,?
13650.04875,175.381562,-36.20442,?
6285.486002,175.257033,-41.065776,?
43559.08022,171.136274,-42.984627,?
1583.815385,175.524361,-39.964676,?
6037.848708,171.438802,-42.263274,?
1799.642283,175.133215,-37.663555,?
3105.662733,175.754709,-38.908394,?
45479.92851,175.624558,-39.145811,?
50620.79428,172.678597,-40.92487,?
753.804929,169.276287,-44.164198,?
1653.258903,173.412972,-34.821654,?
1807.070041,174.090957,-35.168355,?
44224.98397,177.150494,-38.709237,?
10601.79703,172.330205,-43.160646,?
3033.862384,173.813677,-35.750773,?
2358.053015,174.133563,-35.887947,?
3084.982809,168.331068,-44.824082,?
31289.93639,171.436891,-42.887466,?
29961.84823,168.241175,-45.023962,?
2161.883617,175.877947,-40.18708,?
579.074349,175.763331,-38.967902,?
84545.6959,172.806165,-41.916447,?
26891.52866,173.121352,-41.941561,?
11147.90657,175.908494,-37.760512,?
1030.501749,175.077463,-38.265829,?
1283.266501,168.082844,-44.893674,?
905.259396,168.710589,-45.326534,?
7570.157857,170.158842,-43.41486,?
10064.11416,168.421033,-44.851525,?
2505.452773,176.672925,-38.681779,?
11381.3241,176.908391,-39.222008,?
9080.546386,176.038866,-39.839548,?
2906.446714,176.18702,-38.127547,?
663.448476,171.560953,-42.935233,?
2612.022193,172.880417,-40.944221,?
3509.844119,169.344465,-44.120615,?
650.364047,170.187392,-46.054188,?
5594.724404,174.083282,-39.287822,?
5926.838445,175.852296,-37.606744,?
7347.547056,174.798374,-37.868981,?
1408.041126,174.803131,-36.270877,?
2462.407093,172.250399,-43.198676,?
4562.345007,174.13607,-35.882505,?
851.956243,173.963922,-35.218832,?
462.922717,175.792578,-38.816131,?
310.083959,174.166833,-35.231833,?
1401.474524,170.675745,-45.603043,?
3631.210857,176.877064,-39.301553,?
4595.580285,174.285901,-35.763588,?
740.686476,176.330113,-38.182863,?
22946.86094,173.634932,-35.571016,?
10455.38192,172.616308,-41.158644,?
1100.646989,167.492798,-45.543042,?
