@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {0,1,2}

@data
6067.516674,168.605262,-43.986884,0
1190.301175,174.92412,-41.349889,0
516.548047,169.561412,-46.51767,0
11422.56164,174.802487,-38.470915,1
3330.867075,168.772812,-45.137258,1
718.069786,170.113196,-46.001617,0
4557.861652,172.551864,-40.634096,0
2992.429545,177.800795,-38.984819,1
3284.209167,171.22407,-43.63237,1
975.848555,171.327566,-42.115168,0
5921.0808,174.108386,-39.25752,0
3741.219226,174.465259,-36.842507,1
71926.56678,172.30283,-40.886449,2
11579.62589,167.459286,-45.835736,1
32189.20895,171.009128,-43.105688,2
125082.131,172.439503,-41.316558,2
18593.83517,168.964794,-45.151074,1
329.691574,167.156411,-45.463651,0
1195.007303,168.816888,-45.059869,1
35089.00364,174.858544,-39.340627,2
1706.756362,172.940216,-40.838768,1
1590.882815,172.861803,-40.881495,0
565.430542,169.485915,-46.504055,0
2946.382344,177.388115,-38.279664,1
17562.7012,172.783555,-34.453403,1
4047.873045,176.300688,-39.627293,1
4833.243419,168.126726,-44.818123,1
4694.175046,170.406442,-45.815645,1
719.681471,173.627554,-35.239921,0
3965.725559,176.264474,-39.720375,1
16096.67815,172.643854,-42.378199,1
9261.72863,171.881282,-41.609507,1
2024.435791,176.020205,-40.124957,0
338.651466,168.102129,-44.806976,0
421.040669,167.950341,-44.721436,0
7933.766109,173.505612,-41.474801,1
4627.250988,172.695363,-41.182245,1
45641.02679,167.375506,-46.184771,2
4832.004755,173.848472,-42.199905,1
18192.86097,169.259597,-44.713347,1
10856.86009,175.755142,-37.547662,1
7506.947907,175.77963,-37.463674,1
445.51052,174.121709,-39.306651,0
21310.19161,175.449172,-40.881012,2
4521.378161,177.354973,-37.987406,1
3200.259742,171.459206,-41.765011,0
9481.501485,175.781413,-37.261166,1
4373.612159,170.666706,-45.893187,0
6589.686604,174.59732,-36.081098,1
8617.298125,169.343396,-44.632884,1
15365.14878,168.66593,-44.463917,2
3421.535853,175.998206,-39.020721,0
10389.30038,169.818251,-44.540626,1
344.817084,168.548189,-45.066755,1
10808.62116,168.94002,-45.016815,1
2570.670601,175.471081,-40.904241,0
47147.35256,172.755615,-34.457326,2
13992.94903,169.400273,-43.806246,2
