Shape__Length,X,completionTime
710.599218,176.296638,?
253.340026,170.699755,?
704.500823,172.401476,?
7757.580872,173.774442,?
2505.452773,176.672925,?
9187.601994,172.040289,?
5556.543874,176.329267,?
2078.316122,168.676771,?
3102.162016,173.779795,?
2570.670601,175.471081,?
10301.39398,167.965692,?
1967.638846,174.936556,?
1350.7861,174.120517,?
586.56089,173.533952,?
15362.99521,172.70981,?
4895.490784,168.923108,?
2462.407093,172.250399,?
552.552702,168.126725,?
45641.02679,167.375506,?
1162.419368,176.456091,?
417.154485,-176.352583,?
1479.670194,169.704421,?
7240.026853,168.72013,?
225.475259,171.192469,?
742.12362,170.64844,?
1207.195197,175.148006,?
2992.429545,177.800795,?
6844.789438,175.152849,?
993.345742,174.933818,?
859.172062,174.900665,?
44224.98397,177.150494,?
2415.457998,175.243478,?
207.061535,170.61639,?
3432.070434,175.771202,?
2028.361376,174.863902,?
1141.356448,175.531185,?
608.574408,167.923959,?
100.49515,167.928178,?
53855.50795,167.78562,?
310.083959,174.166833,?
3808.872839,173.943753,?
2553.998415,174.437713,?
414.713412,175.875008,?
4399.689845,169.161575,?
1823.821482,174.509999,?
8915.38282,174.625903,?
5442.775039,174.581749,?
1793.448185,177.119788,?
732.428721,-176.572908,?
24559.71717,173.776912,?
1640.837209,168.173979,?
276.577581,173.830112,?
4208.456849,175.392303,?
137.869322,176.346294,?
22819.93446,173.297923,?
4960.77004,177.14835,?
719.681471,173.627554,?
1696.989448,175.163979,?
1873.107038,170.250498,?
587.950289,168.66641,?
975.848555,171.327566,?
17562.7012,172.783555,?
2174.668886,173.773222,?
5227.425548,171.227776,?
1446.18146,173.791274,?
5355.20372,172.729844,?
516.548047,169.561412,?
25306.53165,168.061376,?
2629.400057,176.014874,?
4102.527376,176.045401,?
465.34858,173.084357,?
1693.526664,174.043296,?
1590.882815,172.861803,?
1067.392715,170.029953,?
347.853214,170.029211,?
11140.05051,168.145,?
4833.243419,168.126726,?
3195.585901,168.119366,?
4288.635758,171.530181,?
2525.43211,175.854252,?
227.28721,170.168012,?
2355.609303,174.415247,?
2104.215157,175.961235,?
4307.521735,170.175116,?
28176.66192,171.443393,?
941.320741,174.979872,?
2444.081838,168.720757,?
200.304806,176.215495,?
3217.853171,178.040014,?
3619.160677,175.192925,?
12092.28809,175.829158,?
3527.871843,176.316866,?
11208.485,172.345614,?
811.209813,170.455389,?
5277.158666,173.721732,?
8363.090536,174.062191,?
2358.053015,174.133563,?
878.072282,175.061885,?
3351.968953,174.281651,?
5185.441629,174.164199,?
