@relation meixmeidTrain

@attribute ﻿Shape__Length numeric
@attribute X numeric
@attribute completionTime numeric

@data
59.100195,174.866523,10
70.688113,174.071833,30
81.690257,173.857523,10
89.895016,173.084357,20
100.49515,171.327566,20
116.099977,167.713095,10
125.59567,173.371187,5
137.869322,176.346294,10
139.071821,176.215495,5
140.472352,172.26327,10
143.563654,168.010272,5
151.515708,174.39006,30
169.014441,169.374993,5
169.623794,173.963922,15
176.019142,174.166833,10
183.425736,175.723153,10
198.785612,172.90087,5
200.304806,174.86266,45
207.061535,176.703164,10
208.282912,173.835274,15
221.775843,174.86861,10
225.475259,172.600785,20
227.28721,172.616985,15
228.156586,170.979941,10
246.126518,173.562458,5
253.340026,173.399456,5
253.663449,173.527402,20
259.749932,174.900665,15
265.195776,172.595774,15
274.102216,175.66148,10
276.577581,170.113196,30
285.522422,169.240973,15
285.833325,175.10037,20
291.435803,173.532676,5
310.083959,171.018026,15
316.659793,170.206333,30
320.913806,174.128407,55
329.691574,171.244288,60
338.651466,-176.352583,20
344.817084,168.331068,180
347.853214,170.029211,20
348.833726,174.111633,10
368.775096,176.231094,30
372.077664,168.66641,20
379.285702,173.380355,10
379.806838,174.849178,20
384.148629,170.826236,10
385.910448,167.381015,45
386.158043,174.866137,30
402.240416,173.74911,120
405.583912,177.959861,15
409.910677,176.947083,30
414.713412,175.928506,20
417.154485,167.950341,20
421.040669,173.963922,20
432.05117,174.11984,15
432.157044,174.422958,105
445.51052,174.121709,15
448.418346,175.90823,20
452.642071,173.942699,10
462.922717,176.298653,45
465.34858,174.283623,20
471.474277,170.703804,30
475.368881,170.563195,30
484.783467,167.387268,40
487.723217,170.184529,30
494.696087,174.930317,30
512.828967,175.077463,45
514.51369,174.205583,15
516.548047,176.816969,20
523.218317,175.077648,30
524.689008,170.699755,5
532.198482,176.246676,15
552.552702,168.126725,30
565.430542,174.933818,30
570.601339,173.860941,10
573.315182,170.959645,90
574.409899,168.527468,20
579.074349,168.102129,20
586.56089,172.678853,10
587.172263,174.134748,65
587.950289,170.331346,20
589.537909,170.024125,30
590.252202,175.531185,30
592.948933,173.733009,45
594.717484,171.192469,10
599.219641,173.533952,10
604.359229,174.509999,120
608.574408,169.262977,30
609.422979,169.410963,15
616.800351,177.385703,30
622.142677,167.63541,30
631.219432,174.11677,15
643.27841,177.310239,25
650.364047,172.678059,45
663.448476,170.163227,60
665.076063,171.30187,30
672.52097,173.799782,15
685.077638,171.324149,60
704.500823,170.01791,20
710.599218,176.296638,180
718.069786,173.830112,10
719.681471,174.911023,30
732.428721,170.455389,60
739.866102,174.141705,30
