Shape__Length,X,completionTime
59.10019458,174.866523,10
70.68811297,174.0718331,30
81.69025743,173.8575231,10
89.8950159,173.0843569,20
100.4951503,171.3275657,20
116.0999774,167.7130949,10
125.5956702,173.3711868,5
137.8693219,176.346294,10
139.0718214,176.2154953,5
140.4723515,172.2632699,10
143.563654,168.010272,5
151.5157082,174.3900604,30
169.0144405,169.3749931,5
169.6237935,173.963922,15
176.0191419,174.1668331,10
183.4257357,175.723153,10
198.7856121,172.9008705,5
200.3048062,174.8626603,45
207.0615346,176.7031643,10
208.2829124,173.8352737,15
221.7758425,174.8686103,10
225.4752594,172.600785,20
227.2872097,172.6169847,15
228.1565857,170.9799408,10
246.1265182,173.5624576,5
253.3400256,173.3994557,5
253.6634487,173.5274021,20
259.7499315,174.900665,15
265.1957755,172.595774,15
274.1022157,175.6614796,10
276.5775809,170.1131962,30
285.522422,169.2409731,15
285.8333245,175.1003698,20
291.4358031,173.5326764,5
310.0839589,171.0180265,15
316.6597928,170.2063326,30
320.9138059,174.1284069,55
329.6915735,171.2442882,60
338.6514663,-176.3525828,20
344.8170835,168.3310682,180
347.8532139,170.0292106,20
348.8337255,174.1116327,10
368.7750957,176.2310942,30
372.0776642,168.6664099,20
379.2857021,173.3803554,10
379.8068377,174.8491785,20
384.1486287,170.826236,10
385.910448,167.3810152,45
386.1580429,174.8661365,30
402.2404159,173.7491103,120
405.5839122,177.9598612,15
409.9106773,176.947083,30
414.7134115,175.928506,20
417.1544846,167.9503414,20
421.0406688,173.963922,20
432.0511704,174.1198397,15
432.1570438,174.4229585,105
445.5105203,174.1217092,15
448.4183459,175.9082299,20
452.6420715,173.9426985,10
462.9227171,176.2986534,45
465.3485804,174.2836226,20
471.4742767,170.703804,30
475.3688812,170.5631945,30
484.7834673,167.3872678,40
487.7232172,170.184529,30
494.6960871,174.9303168,30
512.828967,175.0774633,45
514.5136897,174.2055828,15
516.548047,176.8169691,20
523.2183166,175.077648,30
524.689008,170.6997546,5
532.1984818,176.2466755,15
552.5527021,168.1267249,30
565.4305424,174.9338176,30
570.6013386,173.8609415,10
573.3151821,170.9596454,90
574.4098989,168.5274676,20
579.0743486,168.1021294,20
586.5608903,172.6788534,10
587.1722634,174.1347478,65
587.9502893,170.3313459,20
589.5379086,170.0241249,30
590.2522019,175.5311852,30
592.9489328,173.7330088,45
594.7174842,171.1924691,10
599.2196408,173.5339515,10
604.359229,174.5099989,120
608.5744083,169.2629773,30
609.4229794,169.4109627,15
616.8003509,177.385703,30
622.142677,167.6354101,30
631.219432,174.1167696,15
643.2784105,177.310239,25
650.364047,172.6780592,45
663.4484764,170.1632266,60
665.0760631,171.3018697,30
672.5209702,173.7997825,15
685.0776383,171.3241491,60
704.5008234,170.01791,20
710.5992183,176.2966381,180
718.0697865,173.8301123,10
719.6814706,174.9110234,30
732.4287207,170.4553895,60
739.8661021,174.141705,30
740.6864757,176.3301128,30
741.214239,173.6282417,10
742.1236204,169.3444648,90
744.4286724,172.8117893,30
751.2945047,174.2736441,30
751.3623019,175.5137299,30
753.8049289,169.2762875,60
757.8705966,174.8989912,10
779.2995339,173.6275539,30
798.2801134,175.123615,20
804.2463441,175.5471346,30
811.2098132,175.716165,60
813.0331334,171.7431299,60
832.2713822,177.7218936,20
847.9450083,167.5425042,105
851.9562433,175.7633309,20
851.9562433,177.5180964,5
859.1720623,175.8750084,20
878.0722815,175.0618853,25
879.9340234,175.8166568,15
891.9396059,170.1680118,20
892.5191947,171.3481449,45
905.2593963,168.7105887,90
914.8401535,167.9239588,30
941.3207412,169.1615751,90
955.5704825,170.6163904,45
957.9531716,176.5195439,20
970.7019197,170.0375426,60
975.8485552,169.5614119,20
993.3457423,175.5413607,30
1004.34956,173.9725344,15
1005.548485,169.3494587,40
1016.771432,176.4560913,20
1023.483485,167.5174805,30
1030.501749,173.7732223,45
1041.256098,167.1685361,120
1042.931191,174.6130867,40
1067.392715,174.8639019,40
1093.080581,172.8618034,60
1093.34753,175.7150369,20
1100.646989,167.492798,45
1100.994072,169.2112423,45
1106.282421,174.7842222,30
1112.902843,175.7242283,60
1117.042356,175.6018633,30
1131.947017,172.8804171,45
1141.356448,169.4859153,30
1151.120832,167.1700337,180
1155.619453,176.878546,30
1162.419368,175.571237,20
1183.018317,176.8575316,60
1190.301175,176.8299482,45
1195.007303,173.9522514,90
1196.371604,172.7059724,30
1207.195197,175.1480061,60
1216.877778,170.9648717,20
1219.94637,176.3436812,30
1243.332956,173.8506275,60
1252.186524,172.4014761,20
1256.537599,173.9757792,20
1283.266501,168.0828436,45
1291.993521,174.1058358,10
1306.951378,174.0455177,15
1310.65534,173.7430148,60
1313.942264,169.7044211,60
1314.581559,173.1962236,60
1331.310221,170.1785537,60
1334.950782,175.9688141,60
1345.922763,174.47424,40
1350.7861,169.6529988,30
1362.962096,175.6235208,15
1368.376805,172.3478921,40
1377.753308,175.3343713,30
1394.428578,170.8990708,30
1401.474524,176.4977849,90
1402.645063,173.6108801,120
1408.041126,174.8031312,45
1409.032307,175.1371005,60
1410.206518,175.3920994,120
1415.750173,167.1564114,60
1424.112756,178.100482,30
1426.186743,175.2325144,10
1446.18146,174.2816506,60
1456.714926,174.9727674,90
1465.692306,167.9281778,20
1466.475232,171.5609532,60
1479.670194,176.0202049,60
1499.878123,176.2206607,90
1500.968132,169.437736,27
1506.17244,175.129451,30
1520.406158,175.243478,60
1520.582841,173.6484824,40
1524.476394,168.4982227,90
1529.82184,170.1660997,80
1530.708022,175.3919067,120
1532.179283,167.5364505,40
1539.580717,173.5643664,60
1546.008173,169.7940861,30
1583.815385,175.5243609,20
1590.882815,175.4255265,60
1591.144955,173.412972,90
1637.199197,169.193467,60
1640.837209,176.1870204,60
1653.258903,176.6938405,90
1660.45584,174.4758837,60
1662.312478,174.0833921,60
1669.669622,171.4016795,150
1691.394418,167.1460883,150
1693.526664,173.7382905,45
1696.989448,174.5407064,60
1699.139854,175.7799658,60
1706.756362,172.9402163,80
1721.1847,171.1470638,2
1735.127961,175.4310751,40
1737.533055,170.1783166,120
1742.938067,176.1894163,90
1747.25978,174.4131623,90
1777.598835,171.239238,10
1779.514697,175.8076331,90
1793.448185,168.7207567,60
1799.642283,168.1193661,180
1800.777645,172.2503987,60
1807.070041,173.5023187,40
1816.320526,175.7925783,45
1823.821482,175.3923034,120
1830.543523,170.2015156,80
1841.243254,172.5256625,60
1864.986843,170.1872879,80
1873.107038,176.4644729,180
1887.201153,175.7990532,90
1925.027227,174.6454256,420
1929.69533,176.0153801,90
1931.956641,173.7498791,30
1945.604475,174.8551704,60
1967.638846,176.329267,90
1986.44383,167.8236783,45
2024.435791,177.1343899,60
2028.361376,174.0909565,40
2038.63973,174.9375085,120
2068.743095,173.5314198,80
2078.316122,170.1751164,120
2082.121385,174.8233785,25
2102.553963,174.812052,60
2104.215157,174.4377133,90
2108.03821,175.8435569,30
2123.484631,170.668048,45
2132.356864,178.3269359,150
2161.883617,168.5668418,150
2165.982885,176.7261257,60
2174.668886,170.1873921,45
2244.825728,175.1543222,120
2249.252265,175.8976195,40
2252.231112,173.4108992,180
2280.081638,175.8214401,150
2294.349824,173.7217323,120
2298.781026,175.0785623,60
2302.309487,169.2079604,420
2306.367613,169.6244622,60
2338.225179,168.0302838,180
2351.410813,169.1892161,105
2355.609303,175.7403629,120
2358.053015,174.1335631,150
2396.203775,177.5966034,150
2415.457998,173.9589733,60
2443.805508,174.1714121,120
2444.081838,175.1639792,60
2453.599699,170.6387815,90
2456.580522,176.0207557,150
2458.612226,174.4255217,150
2462.407093,175.471081,60
2474.314319,175.637194,120
2476.067212,170.0299526,40
2477.083467,168.3565644,330
2485.150805,172.6945034,80
2505.452773,171.387958,240
2525.43211,172.766947,300
2527.673089,173.7257538,60
2529.837539,174.7150421,210
2553.998415,170.608004,90
2558.600217,176.6729253,240
2570.670601,171.2616875,60
2575.691201,170.6757452,90
2596.396968,175.2365175,180
2602.203777,175.9084942,360
2606.857454,172.3893684,90
2612.022193,168.3894115,45
2617.337136,174.0917301,90
2629.400057,170.6484399,90
2658.043846,171.2292257,45
2659.286116,168.0924929,810
2679.396934,173.3029231,90
2688.623341,170.9620003,60
2690.014668,170.1724691,90
2700.667084,170.9047506,10
2709.911463,174.9241203,45
2710.364696,175.0813241,90
2711.532018,170.5002927,210
2717.697436,170.356162,60
2721.120865,169.3989266,420
2781.15302,176.0409845,150
2784.630441,175.9785101,90
2797.662231,176.036925,210
2829.035645,175.0939536,75
2847.839102,174.3527108,90
2849.757728,174.56917,180
2865.77364,176.0863568,10
2906.446714,174.9366431,60
2925.594244,169.8725393,60
2946.382344,174.9630636,150
2966.500096,167.4803499,270
2992.429545,170.5788125,150
3001.665476,175.9612347,90
3027.133188,176.8834351,60
3033.862384,171.080694,180
3039.152668,171.4916103,180
3044.91772,175.4238619,10
3070.054227,174.9901592,55
3075.526539,167.3688507,240
3084.982809,168.5481892,180
3102.162016,173.779795,10
3105.242282,174.9898877,90
3105.662733,175.7547087,45
3107.470063,168.5470648,90
3131.196416,168.452662,540
3177.238835,176.9023929,30
3195.585901,178.0400144,180
3196.471981,167.9750149,300
3200.259742,171.4592061,75
3202.751831,174.4719984,120
3217.853171,172.3456137,180
3219.655421,176.0148739,90
3222.047277,174.7923137,90
3222.734944,170.6440617,210
3284.209167,171.22407,150
3294.148978,173.5248501,120
3306.388705,174.1242591,225
3322.526724,174.1196,360
3330.867075,168.772812,240
3332.445698,170.0896827,60
3348.688945,176.0916222,60
3351.968953,170.5887589,60
3358.733709,170.7773311,30
3406.462739,175.5499106,150
3408.967142,-176.5559907,120
3419.141567,174.7277574,210
3420.027343,174.5294993,90
3421.535853,175.9982059,75
3425.299664,169.9976635,480
3432.070434,173.298376,105
3438.489096,174.193144,150
3455.563327,167.7048282,50
3456.269258,168.1739791,60
3482.189873,173.9775968,40
3493.115493,175.9123851,75
3499.480565,168.5798598,90
3501.13849,171.1732976,420
3509.844119,169.146338,90
3527.871843,171.1798722,90
3531.871516,168.662001,330
3539.196513,175.2577801,150
3569.134806,175.7712024,105
3579.641885,174.9798723,90
3580.668925,174.3958874,120
3581.129057,172.5947346,180
3584.226633,171.5589938,160
3597.770111,171.5265741,60
3609.945148,169.2441731,300
3619.160677,170.5536408,120
3619.967098,168.0736692,240
3632.311888,172.6933589,180
3646.434771,169.4732921,60
3647.234821,170.869203,150
3648.522208,168.2968753,360
3681.260924,170.694016,120
3714.458289,175.5031549,80
3739.400915,170.1782474,320
3741.219226,174.4652588,150
3752.150139,177.8007948,150
3764.403177,174.6292152,90
3786.092783,175.4497301,90
3808.872839,173.9437527,110
3965.725559,176.2644738,210
3995.522639,178.3084304,120
4005.274464,172.6565375,120
4014.430804,176.0177115,210
4036.884872,173.7170601,150
4044.750326,169.2588807,300
4047.873045,176.255891,150
4049.057185,176.082199,120
4056.553751,169.5880057,210
4084.883551,174.953692,90
4102.527376,175.351379,1800
4112.017564,173.8136766,180
4115.832717,174.0693287,10
4133.65996,172.2748691,330
4142.722385,174.5973201,150
4169.537548,172.8212641,300
4178.762301,169.9701145,90
4191.582229,176.0075236,150
4192.740278,175.3883534,150
4194.092809,172.3302046,300
4206.429489,169.5851983,230
4208.456849,175.1929246,120
4212.215412,177.119788,60
4238.058524,176.5123279,120
4256.800389,174.0837644,330
4257.113084,172.336309,90
4269.919687,174.0432956,45
4288.635758,177.7965618,120
4295.590365,168.0148684,300
4300.234973,170.3296148,120
4305.382387,176.212247,30
4307.521735,171.5301807,120
4310.939605,168.1033733,1080
4330.657313,168.0442592,180
4331.692699,175.4887034,90
4344.599678,168.6282286,10
4373.612159,170.6667056,150
4387.660379,168.3896485,90
4395.838145,174.3179709,480
4399.689845,174.936556,90
4399.801591,175.7364854,60
4406.891394,167.5363447,90
4459.970105,170.0273194,140
4491.041302,173.9844469,150
4496.859226,176.3827481,75
4499.005844,171.1341583,240
4520.67917,174.1075,90
4521.378161,177.3549725,240
4525.194931,173.4421893,150
4542.668223,168.317107,540
4555.813693,175.5408265,150
4557.861652,172.5518639,80
4562.345007,174.13607,225
4595.580285,174.2859013,150
4608.746253,175.3937072,210
4627.250988,170.2452208,180
4651.883408,168.6377455,210
4670.149993,174.4558047,120
4692.15523,169.810247,60
4694.175046,170.4064419,210
4713.889658,169.032178,420
4720.027796,175.5139004,270
4724.552232,167.6842887,120
4748.687539,177.1638557,120
4761.84375,176.0652891,540
4774.986697,173.6990326,5
4821.924975,175.958477,120
4832.004755,173.8484724,270
4833.243419,175.1528488,180
4847.137714,171.6845182,360
4850.994031,175.7340577,105
4875.397827,167.9835344,180
4877.293726,175.2425796,330
4891.665276,176.3168664,90
4895.490784,174.6821524,480
4897.245761,175.8779473,150
4905.811063,170.0942958,180
4930.748322,171.6456767,210
4937.509983,177.3053539,900
4960.77004,177.1237763,120
4991.564867,168.3219562,100
5020.465194,175.859234,240
5024.440889,175.129978,90
5031.789263,173.6083215,150
5057.79235,168.1535428,300
5060.519948,169.3574776,30
5062.101945,168.6767714,120
5073.265649,176.4399728,210
5073.265649,175.0787027,300
5128.947229,176.0745315,30
5157.016486,175.9029092,300
5170.154511,174.1100016,150
5185.441629,175.1332153,180
5202.24658,175.079874,210
5209.607188,172.6163082,150
5227.425548,171.2277762,105
5244.575845,175.0800613,150
5253.591486,176.1830225,150
5277.158666,174.4152469,120
5309.244224,175.5259542,90
5324.4391,168.8168876,210
5345.122932,175.215852,180
5354.836152,175.3565523,120
5355.20372,172.7298439,110
5406.865769,175.289284,360
5442.775039,174.5817492,330
5469.349914,174.120517,30
5487.000645,172.6229023,180
5487.9848,177.0082228,300
5556.543874,168.8168876,90
5594.724404,174.0832818,540
5603.080693,170.1436093,180
5605.521042,172.6926613,150
5618.762537,177.1483505,120
5626.008929,168.5542845,210
5643.699667,177.8797722,150
5676.3247,169.355005,420
5697.872517,172.3607576,180
5731.120804,172.5660123,270
5759.623173,175.4315615,45
5785.583899,175.8220988,150
5799.115878,169.193467,360
5804.666811,169.2571988,210
5812.7438,174.861671,120
5858.550632,175.8415679,210
5878.248156,167.520578,180
5896.98807,172.6953627,180
5926.838445,175.8522956,50
5976.806982,175.6512232,270
5998.892634,169.683398,120
