@relation meixmeid_predicted

@attribute ﻿Shape__Length numeric
@attribute X numeric
@attribute predictedcompletionTime numeric
@attribute completionTime numeric

@data
710.599218,176.296638,126.461532,?
253.340026,170.699755,16.002044,?
704.500823,172.401476,50.474176,?
7757.580872,173.774442,219.259286,?
2505.452773,176.672925,193.557468,?
9187.601994,172.040289,858.964286,?
5556.543874,176.329267,186.517619,?
2078.316122,168.676771,112.232453,?
3102.162016,173.779795,53.808685,?
2570.670601,175.471081,171.440914,?
10301.39398,167.965692,387.24,?
1967.638846,174.936556,78.929684,?
1350.7861,174.120517,35.690978,?
586.56089,173.533952,27.567611,?
15362.99521,172.70981,363.560595,?
4895.490784,168.923108,201.013571,?
2462.407093,172.250399,99.289717,?
552.552702,168.126725,25.89879,?
45641.02679,167.375506,1804.2,?
1162.419368,176.456091,34.374459,?
417.154485,-176.352583,56.409797,?
1479.670194,169.704421,48.654365,?
7240.026853,168.72013,229.065,?
225.475259,171.192469,16.002044,?
742.12362,170.64844,42.205984,?
1207.195197,175.148006,33.69412,?
2992.429545,177.800795,109.782198,?
6844.789438,175.152849,170.402565,?
993.345742,174.933818,31.803459,?
859.172062,174.900665,30.463884,?
44224.98397,177.150494,1827,?
2415.457998,175.243478,91.032755,?
207.061535,170.61639,15.585378,?
3432.070434,175.771202,96.588061,?
2028.361376,174.863902,64.010022,?
1141.356448,175.531185,33.33711,?
608.574408,167.923959,30.397212,?
100.49515,167.928178,16.138073,?
53855.50795,167.78562,1854,?
310.083959,174.166833,20.669923,?
3808.872839,173.943753,117.508685,?
2553.998415,174.437713,163.311511,?
414.713412,175.875008,26.349617,?
4399.689845,169.161575,232.590714,?
1823.821482,174.509999,89.650929,?
8915.38282,174.625903,404.035,?
5442.775039,174.581749,263.208214,?
1793.448185,177.119788,93.688684,?
732.428721,-176.572908,97.241762,?
24559.71717,173.776912,690.45,?
1640.837209,168.173979,91.654212,?
276.577581,173.830112,16.927884,?
4208.456849,175.392303,196.314922,?
137.869322,176.346294,15.568094,?
22819.93446,173.297923,780,?
4960.77004,177.14835,182.366415,?
719.681471,173.627554,40.300509,?
1696.989448,175.163979,67.65869,?
1873.107038,170.250498,92.811464,?
587.950289,168.66641,31.709147,?
975.848555,171.327566,39.102602,?
17562.7012,172.783555,440.904762,?
2174.668886,173.773222,77.250609,?
5227.425548,171.227776,130.579542,?
1446.18146,173.791274,58.595523,?
5355.20372,172.729844,130.484455,?
516.548047,169.561412,25.399805,?
25306.53165,168.061376,1361.095,?
2629.400057,176.014874,179.768231,?
4102.527376,176.045401,857.4199,?
465.34858,173.084357,25.423557,?
1693.526664,174.043296,59.274842,?
1590.882815,172.861803,61.913847,?
1067.392715,170.029953,39.530998,?
347.853214,170.029211,36.699182,?
11140.05051,168.145,411.365,?
4833.243419,168.126726,304.872619,?
3195.585901,168.119366,418.735,?
4288.635758,171.530181,123.575714,?
2525.43211,175.854252,213.593065,?
227.28721,170.168012,15.585378,?
2355.609303,174.415247,135.73626,?
2104.215157,175.961235,63.617576,?
4307.521735,170.175116,150.00377,?
28176.66192,171.443393,1566,?
941.320741,174.979872,34.446701,?
2444.081838,168.720757,160.721495,?
200.304806,176.215495,15.568094,?
3217.853171,178.040014,139.034638,?
3619.160677,175.192925,131.772604,?
12092.28809,175.829158,324.775714,?
3527.871843,176.316866,123.794067,?
11208.485,172.345614,282.68,?
811.209813,170.455389,39.256957,?
5277.158666,173.721732,148.35268,?
8363.090536,174.062191,155.987619,?
2358.053015,174.133563,139.940042,?
878.072282,175.061885,30.35734,?
3351.968953,174.281651,151.025637,?
5185.441629,174.164199,138.125478,?
